,airline,missing.luggage.per.1000.passangers,customer complaint,Involuntary.permillage,All.permillage,missing.luggage,complaint,Involuntary,All
1,ALASKA AIRLINES,2.65666666666667,20.3333333333333,0.02654,0.29668,3,5,2,3
2,AMERICAN AIRLINES,3.75333333333333,200.666666666667,0.01035,0.41924,3,1,2,3
3,DELTA AIR LINES,1.54333333333333,75,0.00021,0.56731,4,3,4,3
4,ENVOY AIR,5.40666666666667,8.66666666666667,0.02883,1.21363,1,5,2,1
5,EXPRESSJET AIRLINES,4.71666666666667,6,0.00259,0.91365,2,5,3,2
6,FRONTIER AIRLINES,2.42666666666667,100,0.06639,0.32378,3,3,1,3
7,HAWAIIAN AIRLINES,2.53,12.3333333333333,0.00085,0.0949,3,5,4,4
8,JETBLUE AIRWAYS,1.67333333333333,40,0.0008,0.07108,4,4,4,4
9,SKYWEST AIRLINES,3.97,13.3333333333333,0.01448,0.85184,3,5,2,2
10,SOUTHWEST AIRLINES,2.63333333333333,46,0.01674,0.15761,3,4,2,4
11,SPIRIT AIRLINES,1.59666666666667,64.6666666666667,0.07224,0.85231,4,3,1,2
12,UNITED AIRLINES,2.39666666666667,130.333333333333,0.00094,0.37974,3,2,4,3
