"","Operator","year","count"
"283","UNITED AIRLINES, INC.",2008,8
"284","UNITED AIRLINES, INC.",2009,7
"285","UNITED AIRLINES, INC.",2010,13
"286","UNITED AIRLINES, INC.",2011,5
"287","UNITED AIRLINES, INC.",1983,1
"288","UNITED AIRLINES, INC.",2012,1
"289","UNITED AIRLINES, INC.",2013,2
"290","UNITED AIRLINES, INC.",2014,9
"291","UNITED AIRLINES, INC.",2015,2
"292","UNITED AIRLINES, INC.",2016,3
"293","UNITED AIRLINES, INC.",2017,5
"294","UNITED AIRLINES, INC.",2018,6
"295","EXPRESSJET AIRLINES INC",1993,3
"296","EXPRESSJET AIRLINES INC",1994,8
"297","EXPRESSJET AIRLINES INC",1995,10
"298","EXPRESSJET AIRLINES INC",1996,20
"299","EXPRESSJET AIRLINES INC",1997,14
"300","EXPRESSJET AIRLINES INC",1998,14
"301","EXPRESSJET AIRLINES INC",1999,12
"302","EXPRESSJET AIRLINES INC",2000,12
"303","EXPRESSJET AIRLINES INC",2001,12
"304","EXPRESSJET AIRLINES INC",2002,4
"305","EXPRESSJET AIRLINES INC",2003,11
"306","EXPRESSJET AIRLINES INC",2004,11
"307","EXPRESSJET AIRLINES INC",2005,8
"308","EXPRESSJET AIRLINES INC",2006,6
"309","EXPRESSJET AIRLINES INC",2007,2
"310","EXPRESSJET AIRLINES INC",2008,4
"311","EXPRESSJET AIRLINES INC",2009,3
"312","EXPRESSJET AIRLINES INC",2010,8
"313","EXPRESSJET AIRLINES INC",2011,7
"314","EXPRESSJET AIRLINES INC",2012,7
"315","EXPRESSJET AIRLINES INC",2013,6
"316","EXPRESSJET AIRLINES INC",2014,4
"317","EXPRESSJET AIRLINES INC",2015,2
"318","EXPRESSJET AIRLINES INC",2017,1
"319","JETBLUE AIRWAYS CORPORATION",2002,2
"320","JETBLUE AIRWAYS CORPORATION",2004,4
"321","JETBLUE AIRWAYS CORPORATION",2005,2
"322","JETBLUE AIRWAYS CORPORATION",2006,1
"323","JETBLUE AIRWAYS CORPORATION",2007,3
"324","JETBLUE AIRWAYS CORPORATION",2010,2
"325","JETBLUE AIRWAYS CORPORATION",2012,1
"326","JETBLUE AIRWAYS CORPORATION",2013,3
"327","JETBLUE AIRWAYS CORPORATION",2014,3
"328","JETBLUE AIRWAYS CORPORATION",2017,1
"329","JETBLUE AIRWAYS CORPORATION",2018,1
"330","SPIRIT AIRLINES INC",1995,2
"331","SPIRIT AIRLINES INC",1998,2
"332","SPIRIT AIRLINES INC",1999,2
"333","SPIRIT AIRLINES INC",2000,1
"334","SPIRIT AIRLINES INC",2001,5
"335","SPIRIT AIRLINES INC",2002,2
"336","SPIRIT AIRLINES INC",2003,3
"337","SPIRIT AIRLINES INC",2005,1
"338","SPIRIT AIRLINES INC",2006,1
"339","SPIRIT AIRLINES INC",2008,1
"340","SPIRIT AIRLINES INC",2010,2
"341","SPIRIT AIRLINES INC",2012,1
"342","SPIRIT AIRLINES INC",2014,1
"343","SPIRIT AIRLINES INC",2017,1
"344","ENVOY AIR INC",2014,3
"345","ENVOY AIR INC",2015,2
"346","ENVOY AIR INC",2016,4
"347","ENVOY AIR INC",2018,1
