"","year","Event.State","count"
"1",1978,"AK",176
"2",1978,"AL",25
"3",1978,"AR",44
"4",1978,"AZ",70
"5",1978,"CA",512
"6",1978,"CO",109
"7",1978,"CT",62
"8",1978,"DE",11
"9",1978,"FL",218
"10",1978,"GA",75
"11",1978,"HI",37
"12",1978,"IA",84
"13",1978,"ID",53
"14",1978,"IL",237
"15",1978,"IN",116
"16",1978,"KS",87
"17",1978,"KY",47
"18",1978,"LA",96
"19",1978,"MA",206
"20",1978,"MD",60
"21",1978,"ME",35
"22",1978,"MI",176
"23",1978,"MN",87
"24",1978,"MO",141
"25",1978,"MS",34
"26",1978,"MT",44
"27",1978,"NC",94
"28",1978,"ND",26
"29",1978,"NE",62
"30",1978,"NH",25
"31",1978,"NJ",92
"32",1978,"NM",48
"33",1978,"NV",49
"34",1978,"NY",286
"35",1978,"OH",181
"36",1978,"OK",83
"37",1978,"OR",75
"38",1978,"PA",157
"39",1978,"RI",15
"40",1978,"SC",42
"41",1978,"SD",33
"42",1978,"TN",50
"43",1978,"TX",373
"44",1978,"UT",36
"45",1978,"VA",88
"46",1978,"VT",10
"47",1978,"WA",99
"48",1978,"WI",70
"49",1978,"WV",29
"50",1978,"WY",27
"51",1979,"AK",153
"52",1979,"AL",41
"53",1979,"AR",57
"54",1979,"AZ",77
"55",1979,"CA",539
"56",1979,"CO",139
"57",1979,"CT",70
"58",1979,"DE",6
"59",1979,"FL",195
"60",1979,"GA",72
"61",1979,"HI",37
"62",1979,"IA",69
"63",1979,"ID",45
"64",1979,"IL",288
"65",1979,"IN",84
"66",1979,"KS",65
"67",1979,"KY",61
"68",1979,"LA",85
"69",1979,"MA",183
"70",1979,"MD",43
"71",1979,"ME",24
"72",1979,"MI",190
"73",1979,"MN",92
"74",1979,"MO",107
"75",1979,"MS",41
"76",1979,"MT",48
"77",1979,"NC",77
"78",1979,"ND",27
"79",1979,"NE",47
"80",1979,"NH",24
"81",1979,"NJ",70
"82",1979,"NM",48
"83",1979,"NV",50
"84",1979,"NY",300
"85",1979,"OH",159
"86",1979,"OK",96
"87",1979,"OR",56
"88",1979,"PA",174
"89",1979,"RI",12
"90",1979,"SC",26
"91",1979,"SD",30
"92",1979,"TN",47
"93",1979,"TX",395
"94",1979,"UT",53
"95",1979,"VA",90
"96",1979,"VT",8
"97",1979,"WA",94
"98",1979,"WI",53
"99",1979,"WV",26
"100",1979,"WY",48
"101",1980,"AK",136
"102",1980,"AL",27
"103",1980,"AR",41
"104",1980,"AZ",92
"105",1980,"CA",485
"106",1980,"CO",111
"107",1980,"CT",39
"108",1980,"DE",10
"109",1980,"FL",194
"110",1980,"GA",82
"111",1980,"HI",29
"112",1980,"IA",44
"113",1980,"ID",39
"114",1980,"IL",370
"115",1980,"IN",87
"116",1980,"KS",65
"117",1980,"KY",44
"118",1980,"LA",134
"119",1980,"MA",123
"120",1980,"MD",57
"121",1980,"ME",27
"122",1980,"MI",154
"123",1980,"MN",62
"124",1980,"MO",108
"125",1980,"MS",41
"126",1980,"MT",27
"127",1980,"NC",68
"128",1980,"ND",21
"129",1980,"NE",52
"130",1980,"NH",17
"131",1980,"NJ",63
"132",1980,"NM",58
"133",1980,"NV",64
"134",1980,"NY",240
"135",1980,"OH",140
"136",1980,"OK",73
"137",1980,"OR",67
"138",1980,"PA",147
"139",1980,"RI",13
"140",1980,"SC",33
"141",1980,"SD",31
"142",1980,"TN",45
"143",1980,"TX",451
"144",1980,"UT",56
"145",1980,"VA",75
"146",1980,"VT",6
"147",1980,"WA",75
"148",1980,"WI",62
"149",1980,"WV",32
"150",1980,"WY",36
"151",1981,"AK",113
"152",1981,"AL",23
"153",1981,"AR",36
"154",1981,"AZ",99
"155",1981,"CA",402
"156",1981,"CO",113
"157",1981,"CT",39
"158",1981,"DE",10
"159",1981,"FL",183
"160",1981,"GA",61
"161",1981,"HI",38
"162",1981,"IA",52
"163",1981,"ID",30
"164",1981,"IL",272
"165",1981,"IN",91
"166",1981,"KS",37
"167",1981,"KY",26
"168",1981,"LA",88
"169",1981,"MA",84
"170",1981,"MD",56
"171",1981,"ME",24
"172",1981,"MI",131
"173",1981,"MN",49
"174",1981,"MO",110
"175",1981,"MS",35
"176",1981,"MT",25
"177",1981,"NC",55
"178",1981,"ND",16
"179",1981,"NE",54
"180",1981,"NH",19
"181",1981,"NJ",70
"182",1981,"NM",66
"183",1981,"NV",41
"184",1981,"NY",184
"185",1981,"OH",124
"186",1981,"OK",70
"187",1981,"OR",47
"188",1981,"PA",128
"189",1981,"RI",19
"190",1981,"SC",41
"191",1981,"SD",25
"192",1981,"TN",35
"193",1981,"TX",359
"194",1981,"UT",47
"195",1981,"VA",63
"196",1981,"VT",5
"197",1981,"WA",75
"198",1981,"WI",57
"199",1981,"WV",29
"200",1981,"WY",49
"201",1982,"AK",74
"202",1982,"AL",30
"203",1982,"AR",23
"204",1982,"AZ",81
"205",1982,"CA",360
"206",1982,"CO",76
"207",1982,"CT",28
"208",1982,"DE",8
"209",1982,"FL",147
"210",1982,"GA",53
"211",1982,"HI",25
"212",1982,"IA",49
"213",1982,"ID",37
"214",1982,"IL",149
"215",1982,"IN",69
"216",1982,"KS",44
"217",1982,"KY",15
"218",1982,"LA",58
"219",1982,"MA",74
"220",1982,"MD",26
"221",1982,"ME",23
"222",1982,"MI",107
"223",1982,"MN",47
"224",1982,"MO",58
"225",1982,"MS",24
"226",1982,"MT",16
"227",1982,"NC",55
"228",1982,"ND",11
"229",1982,"NE",41
"230",1982,"NH",7
"231",1982,"NJ",38
"232",1982,"NM",46
"233",1982,"NV",32
"234",1982,"NY",131
"235",1982,"OH",76
"236",1982,"OK",56
"237",1982,"OR",43
"238",1982,"PA",98
"239",1982,"RI",11
"240",1982,"SC",19
"241",1982,"SD",18
"242",1982,"TN",35
"243",1982,"TX",319
"244",1982,"UT",43
"245",1982,"VA",36
"246",1982,"VT",5
"247",1982,"WA",36
"248",1982,"WI",55
"249",1982,"WV",15
"250",1982,"WY",35
"251",1983,"AK",76
"252",1983,"AL",19
"253",1983,"AR",25
"254",1983,"AZ",44
"255",1983,"CA",308
"256",1983,"CO",92
"257",1983,"CT",27
"258",1983,"DE",5
"259",1983,"FL",143
"260",1983,"GA",48
"261",1983,"HI",19
"262",1983,"IA",24
"263",1983,"ID",23
"264",1983,"IL",135
"265",1983,"IN",65
"266",1983,"KS",29
"267",1983,"KY",23
"268",1983,"LA",48
"269",1983,"MA",92
"270",1983,"MD",42
"271",1983,"ME",14
"272",1983,"MI",102
"273",1983,"MN",52
"274",1983,"MO",48
"275",1983,"MS",29
"276",1983,"MT",25
"277",1983,"NC",48
"278",1983,"ND",13
"279",1983,"NE",30
"280",1983,"NH",10
"281",1983,"NJ",36
"282",1983,"NM",35
"283",1983,"NV",39
"284",1983,"NY",174
"285",1983,"OH",86
"286",1983,"OK",68
"287",1983,"OR",32
"288",1983,"PA",69
