city1,city2,start,end,carrier_lg
"Los Angeles, CA (Metropolitan Area)","Wichita, KS",2017-04-01,2017-07-01,UA
"Los Angeles, CA (Metropolitan Area)","Wichita, KS",2017-07-01,2017-10-01,WN
"Los Angeles, CA (Metropolitan Area)","Wichita, KS",2017-10-01,2018-01-01,UA
"Los Angeles, CA (Metropolitan Area)","Wichita, KS",2018-04-01,2018-07-01,WN
"Dallas/Fort Worth, TX","Denver, CO",2008-01-01,2012-04-01,AA
"Dallas/Fort Worth, TX","Denver, CO",2012-04-01,2012-07-01,F9
"Dallas/Fort Worth, TX","Denver, CO",2012-07-01,2013-04-01,AA
"Dallas/Fort Worth, TX","Denver, CO",2013-04-01,2014-01-01,F9
"Dallas/Fort Worth, TX","Denver, CO",2014-01-01,2014-07-01,AA
"Dallas/Fort Worth, TX","Denver, CO",2014-07-01,2014-10-01,F9
"Dallas/Fort Worth, TX","Denver, CO",2014-10-01,2018-07-01,AA
"Atlanta, GA (Metropolitan Area)","Salt Lake City, UT",2008-01-01,2018-07-01,DL
"Dallas/Fort Worth, TX","Houston, TX",2008-01-01,2018-07-01,WN
"Austin, TX","Raleigh/Durham, NC",2008-01-01,2009-01-01,AA
"Austin, TX","Raleigh/Durham, NC",2009-04-01,2010-04-01,AA
"Austin, TX","Raleigh/Durham, NC",2010-04-01,2010-10-01,WN
"Austin, TX","Raleigh/Durham, NC",2010-10-01,2011-04-01,DL
"Austin, TX","Raleigh/Durham, NC",2011-04-01,2012-01-01,AA
"Austin, TX","Raleigh/Durham, NC",2012-01-01,2012-10-01,DL
"Austin, TX","Raleigh/Durham, NC",2012-10-01,2013-01-01,AA
"Austin, TX","Raleigh/Durham, NC",2013-01-01,2013-04-01,DL
"Austin, TX","Raleigh/Durham, NC",2013-04-01,2013-10-01,WN
"Austin, TX","Raleigh/Durham, NC",2013-10-01,2014-04-01,DL
"Austin, TX","Raleigh/Durham, NC",2014-04-01,2014-07-01,AA
"Austin, TX","Raleigh/Durham, NC",2014-07-01,2015-04-01,WN
"Austin, TX","Raleigh/Durham, NC",2015-04-01,2015-07-01,DL
"Austin, TX","Raleigh/Durham, NC",2015-07-01,2016-04-01,WN
"Austin, TX","Raleigh/Durham, NC",2016-04-01,2016-07-01,AA
"Austin, TX","Raleigh/Durham, NC",2016-07-01,2017-04-01,WN
"Austin, TX","Raleigh/Durham, NC",2017-04-01,2018-07-01,DL
"Houston, TX","Oklahoma City, OK",2008-01-01,2018-04-01,WN
"Houston, TX","Oklahoma City, OK",2018-04-01,2018-07-01,UA
"Houston, TX","Omaha, NE",2008-04-01,2012-01-01,CO
"Houston, TX","Omaha, NE",2012-01-01,2017-01-01,UA
"Houston, TX","Omaha, NE",2017-01-01,2018-04-01,WN
"Houston, TX","Omaha, NE",2018-04-01,2018-07-01,UA
"Chicago, IL","Omaha, NE",2008-01-01,2018-07-01,WN
"San Francisco, CA (Metropolitan Area)","Spokane, WA",2008-01-01,2018-07-01,WN
"Denver, CO","Omaha, NE",2008-01-01,2008-10-01,UA
"Denver, CO","Omaha, NE",2008-10-01,2009-10-01,F9
"Denver, CO","Omaha, NE",2009-10-01,2010-01-01,WN
"Denver, CO","Omaha, NE",2010-01-01,2010-04-01,UA
"Denver, CO","Omaha, NE",2010-04-01,2011-04-01,WN
"Denver, CO","Omaha, NE",2011-04-01,2012-01-01,F9
"Denver, CO","Omaha, NE",2012-01-01,2012-04-01,WN
"Denver, CO","Omaha, NE",2012-04-01,2012-07-01,F9
"Denver, CO","Omaha, NE",2012-07-01,2014-04-01,WN
"Denver, CO","Omaha, NE",2014-04-01,2014-07-01,F9
"Denver, CO","Omaha, NE",2014-07-01,2016-10-01,WN
"Denver, CO","Omaha, NE",2016-10-01,2017-01-01,UA
"Denver, CO","Omaha, NE",2017-01-01,2017-07-01,WN
"Denver, CO","Omaha, NE",2017-07-01,2017-10-01,UA
"Denver, CO","Omaha, NE",2017-10-01,2018-04-01,WN
"Denver, CO","Omaha, NE",2018-04-01,2018-07-01,UA
"Boston, MA (Metropolitan Area)","Seattle, WA",2008-01-01,2009-07-01,AS
"Boston, MA (Metropolitan Area)","Seattle, WA",2009-07-01,2009-10-01,B6
"Boston, MA (Metropolitan Area)","Seattle, WA",2009-10-01,2010-04-01,AS
"Boston, MA (Metropolitan Area)","Seattle, WA",2010-04-01,2011-01-01,B6
"Boston, MA (Metropolitan Area)","Seattle, WA",2011-01-01,2011-04-01,AS
"Boston, MA (Metropolitan Area)","Seattle, WA",2011-04-01,2011-10-01,B6
"Boston, MA (Metropolitan Area)","Seattle, WA",2011-10-01,2012-04-01,AS
"Boston, MA (Metropolitan Area)","Seattle, WA",2012-04-01,2012-10-01,B6
"Boston, MA (Metropolitan Area)","Seattle, WA",2012-10-01,2013-04-01,AS
"Boston, MA (Metropolitan Area)","Seattle, WA",2013-04-01,2015-04-01,B6
"Boston, MA (Metropolitan Area)","Seattle, WA",2015-04-01,2015-07-01,AS
"Boston, MA (Metropolitan Area)","Seattle, WA",2015-07-01,2016-04-01,B6
"Boston, MA (Metropolitan Area)","Seattle, WA",2016-04-01,2018-07-01,AS
"Oklahoma City, OK","Seattle, WA",2008-07-01,2008-10-01,UA
"Oklahoma City, OK","Seattle, WA",2009-04-01,2009-10-01,UA
"Oklahoma City, OK","Seattle, WA",2010-04-01,2010-10-01,WN
"Oklahoma City, OK","Seattle, WA",2011-04-01,2011-10-01,WN
"Oklahoma City, OK","Seattle, WA",2012-04-01,2012-10-01,WN
"Oklahoma City, OK","Seattle, WA",2013-04-01,2013-10-01,WN
"Oklahoma City, OK","Seattle, WA",2014-07-01,2014-10-01,WN
"Oklahoma City, OK","Seattle, WA",2015-04-01,2015-07-01,UA
"Oklahoma City, OK","Seattle, WA",2015-07-01,2018-07-01,AS
"Kansas City, MO","Sacramento, CA",2008-01-01,2009-01-01,WN
"Kansas City, MO","Sacramento, CA",2009-04-01,2010-01-01,WN
"Kansas City, MO","Sacramento, CA",2010-04-01,2011-01-01,WN
"Kansas City, MO","Sacramento, CA",2011-04-01,2013-01-01,WN
"Kansas City, MO","Sacramento, CA",2013-04-01,2013-10-01,WN
"Kansas City, MO","Sacramento, CA",2014-04-01,2014-10-01,WN
"Kansas City, MO","Sacramento, CA",2015-04-01,2015-07-01,WN
"Kansas City, MO","Sacramento, CA",2015-10-01,2016-01-01,WN
"Kansas City, MO","Sacramento, CA",2016-04-01,2016-07-01,WN
"Kansas City, MO","Sacramento, CA",2017-04-01,2017-10-01,WN
"Detroit, MI","Phoenix, AZ",2008-01-01,2010-01-01,NW
"Detroit, MI","Phoenix, AZ",2010-01-01,2018-07-01,DL
"Chicago, IL","Portland, OR",2008-01-01,2014-07-01,UA
"Chicago, IL","Portland, OR",2014-07-01,2014-10-01,WN
"Chicago, IL","Portland, OR",2014-10-01,2016-01-01,UA
"Chicago, IL","Portland, OR",2016-01-01,2016-04-01,AS
"Chicago, IL","Portland, OR",2016-04-01,2017-01-01,UA
"Chicago, IL","Portland, OR",2017-01-01,2017-04-01,AS
"Chicago, IL","Portland, OR",2017-04-01,2017-07-01,UA
"Chicago, IL","Portland, OR",2017-07-01,2017-10-01,AA
"Chicago, IL","Portland, OR",2017-10-01,2018-07-01,UA
"Chicago, IL","San Antonio, TX",2008-01-01,2009-04-01,AA
"Chicago, IL","San Antonio, TX",2009-04-01,2010-04-01,WN
"Chicago, IL","San Antonio, TX",2010-04-01,2011-04-01,AA
"Chicago, IL","San Antonio, TX",2011-04-01,2011-07-01,WN
"Chicago, IL","San Antonio, TX",2011-07-01,2012-04-01,AA
"Chicago, IL","San Antonio, TX",2012-04-01,2018-07-01,WN
"Des Moines, IA","Phoenix, AZ",2008-01-01,2015-07-01,US
"Des Moines, IA","Phoenix, AZ",2015-07-01,2018-07-01,AA
"Charleston, SC","New York City, NY (Metropolitan Area)",2008-01-01,2008-04-01,DL
"Charleston, SC","New York City, NY (Metropolitan Area)",2008-04-01,2008-07-01,US
"Charleston, SC","New York City, NY (Metropolitan Area)",2008-07-01,2009-10-01,DL
"Charleston, SC","New York City, NY (Metropolitan Area)",2009-10-01,2010-04-01,US
"Charleston, SC","New York City, NY (Metropolitan Area)",2010-04-01,2010-07-01,DL
"Charleston, SC","New York City, NY (Metropolitan Area)",2010-07-01,2012-01-01,US
"Charleston, SC","New York City, NY (Metropolitan Area)",2012-01-01,2014-01-01,DL
"Charleston, SC","New York City, NY (Metropolitan Area)",2014-01-01,2016-10-01,B6
"Charleston, SC","New York City, NY (Metropolitan Area)",2016-10-01,2017-04-01,DL
"Charleston, SC","New York City, NY (Metropolitan Area)",2017-04-01,2017-07-01,B6
"Charleston, SC","New York City, NY (Metropolitan Area)",2017-07-01,2018-07-01,DL
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2008-01-01,2012-01-01,CO
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2012-01-01,2013-10-01,UA
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2013-10-01,2014-07-01,DL
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2014-07-01,2014-10-01,UA
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2014-10-01,2015-01-01,DL
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2015-01-01,2018-07-01,UA
"Orlando, FL","Raleigh/Durham, NC",2008-01-01,2013-10-01,WN
"Orlando, FL","Raleigh/Durham, NC",2013-10-01,2014-01-01,FL
"Orlando, FL","Raleigh/Durham, NC",2014-01-01,2018-07-01,WN
"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)",2008-01-01,2017-10-01,WN
"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)",2017-10-01,2018-07-01,UA
"Indianapolis, IN","Raleigh/Durham, NC",2008-04-01,2010-01-01,NW
"Indianapolis, IN","Raleigh/Durham, NC",2010-01-01,2014-01-01,DL
"Indianapolis, IN","Raleigh/Durham, NC",2014-04-01,2015-01-01,DL
"Indianapolis, IN","Raleigh/Durham, NC",2015-04-01,2018-07-01,DL
"Orlando, FL","Syracuse, NY",2008-01-01,2018-07-01,B6
"Chicago, IL","St. Louis, MO",2008-01-01,2018-07-01,WN
"Reno, NV","Seattle, WA",2008-01-01,2012-07-01,AS
"Reno, NV","Seattle, WA",2012-07-01,2012-10-01,WN
"Reno, NV","Seattle, WA",2012-10-01,2018-07-01,AS
"Buffalo, NY","Minneapolis/St. Paul, MN",2010-07-01,2010-10-01,DL
"Buffalo, NY","Minneapolis/St. Paul, MN",2011-07-01,2011-10-01,DL
"Buffalo, NY","Minneapolis/St. Paul, MN",2012-07-01,2012-10-01,DL
"Denver, CO","Grand Rapids, MI",2010-04-01,2010-10-01,UA
"Denver, CO","Grand Rapids, MI",2010-10-01,2013-04-01,F9
"Denver, CO","Grand Rapids, MI",2013-04-01,2013-10-01,UA
"Denver, CO","Grand Rapids, MI",2013-10-01,2014-01-01,WN
"Denver, CO","Grand Rapids, MI",2014-01-01,2016-04-01,UA
"Denver, CO","Grand Rapids, MI",2016-04-01,2017-04-01,WN
"Denver, CO","Grand Rapids, MI",2017-04-01,2018-01-01,UA
"Denver, CO","Grand Rapids, MI",2018-01-01,2018-04-01,WN
"Denver, CO","Grand Rapids, MI",2018-04-01,2018-07-01,UA
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2008-01-01,2008-04-01,CO
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2008-10-01,2009-07-01,CO
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2009-10-01,2010-04-01,CO
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2010-10-01,2011-04-01,CO
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2012-01-01,2012-04-01,UA
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2013-01-01,2013-04-01,UA
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2014-01-01,2014-04-01,UA
"Charlotte, NC","Chicago, IL",2008-01-01,2015-07-01,US
"Charlotte, NC","Chicago, IL",2015-07-01,2018-07-01,AA
"Albany, NY","Charlotte, NC",2011-04-01,2011-07-01,US
"Albany, NY","Charlotte, NC",2013-07-01,2014-01-01,US
"Albany, NY","Charlotte, NC",2014-04-01,2015-01-01,US
"Albany, NY","Charlotte, NC",2015-04-01,2015-07-01,US
"Albany, NY","Charlotte, NC",2015-07-01,2016-01-01,AA
"Albany, NY","Charlotte, NC",2016-04-01,2017-01-01,AA
"Albany, NY","Charlotte, NC",2017-04-01,2018-01-01,AA
"Columbus, OH","Seattle, WA",2008-01-01,2008-07-01,NW
"Columbus, OH","Seattle, WA",2008-07-01,2008-10-01,DL
"Columbus, OH","Seattle, WA",2008-10-01,2009-04-01,NW
"Columbus, OH","Seattle, WA",2009-04-01,2009-07-01,UA
"Columbus, OH","Seattle, WA",2009-07-01,2009-10-01,CO
"Columbus, OH","Seattle, WA",2009-10-01,2010-01-01,UA
"Columbus, OH","Seattle, WA",2010-01-01,2011-01-01,DL
"Columbus, OH","Seattle, WA",2011-04-01,2011-07-01,AA
"Columbus, OH","Seattle, WA",2011-07-01,2012-01-01,DL
"Columbus, OH","Seattle, WA",2012-04-01,2013-01-01,UA
"Columbus, OH","Seattle, WA",2013-04-01,2013-10-01,DL
"Columbus, OH","Seattle, WA",2014-04-01,2014-07-01,DL
"Columbus, OH","Seattle, WA",2014-07-01,2014-10-01,WN
"Columbus, OH","Seattle, WA",2014-10-01,2015-01-01,DL
"Columbus, OH","Seattle, WA",2015-04-01,2015-10-01,WN
"Columbus, OH","Seattle, WA",2016-04-01,2016-10-01,WN
"Columbus, OH","Seattle, WA",2016-10-01,2017-01-01,DL
"Columbus, OH","Seattle, WA",2017-04-01,2017-10-01,WN
"Columbus, OH","Seattle, WA",2017-10-01,2018-01-01,UA
"Columbus, OH","Seattle, WA",2018-04-01,2018-07-01,WN
"Chicago, IL","New Orleans, LA",2008-01-01,2012-04-01,AA
"Chicago, IL","New Orleans, LA",2012-04-01,2018-07-01,WN
"Raleigh/Durham, NC","St. Louis, MO",2008-01-01,2010-04-01,AA
"Raleigh/Durham, NC","St. Louis, MO",2010-04-01,2011-04-01,WN
"Raleigh/Durham, NC","St. Louis, MO",2011-04-01,2011-10-01,DL
"Raleigh/Durham, NC","St. Louis, MO",2011-10-01,2018-07-01,WN
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2008-01-01,2008-07-01,DL
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2008-07-01,2008-10-01,CO
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2008-10-01,2009-04-01,DL
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2009-04-01,2009-10-01,CO
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2009-10-01,2010-07-01,DL
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2010-07-01,2010-10-01,CO
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2010-10-01,2011-04-01,DL
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2012-01-01,2012-04-01,DL
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2012-10-01,2013-04-01,DL
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2013-10-01,2015-07-01,AA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2016-01-01,2016-04-01,AA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2016-10-01,2017-04-01,AA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2018-01-01,2018-04-01,AA
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2008-01-01,2008-07-01,US
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2008-07-01,2009-01-01,WN
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2009-01-01,2009-07-01,US
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2009-07-01,2009-10-01,WN
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2009-10-01,2010-04-01,US
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2010-04-01,2010-10-01,WN
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2010-10-01,2011-07-01,US
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2011-07-01,2011-10-01,WN
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2011-10-01,2015-07-01,US
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2015-07-01,2018-07-01,AA
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2008-01-01,2010-01-01,NW
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2010-01-01,2018-07-01,DL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2008-01-01,2012-01-01,CO
"Cleveland, OH (Metropolitan Area)","Houston, TX",2012-01-01,2018-07-01,UA
"Indianapolis, IN","Philadelphia, PA",2008-01-01,2015-07-01,US
"Indianapolis, IN","Philadelphia, PA",2015-07-01,2018-07-01,AA
"Boise, ID","San Francisco, CA (Metropolitan Area)",2008-01-01,2018-01-01,WN
"Boise, ID","San Francisco, CA (Metropolitan Area)",2018-01-01,2018-04-01,UA
"Boise, ID","San Francisco, CA (Metropolitan Area)",2018-04-01,2018-07-01,WN
"Charlotte, NC","Indianapolis, IN",2008-01-01,2015-07-01,US
"Charlotte, NC","Indianapolis, IN",2015-07-01,2018-07-01,AA
"Atlanta, GA (Metropolitan Area)","Raleigh/Durham, NC",2008-01-01,2018-07-01,DL
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2008-01-01,2010-01-01,NW
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2010-01-01,2018-07-01,DL
"Salt Lake City, UT","San Diego, CA",2008-01-01,2018-07-01,DL
"Salt Lake City, UT","Seattle, WA",2008-01-01,2008-04-01,DL
"Salt Lake City, UT","Seattle, WA",2008-04-01,2008-07-01,WN
"Salt Lake City, UT","Seattle, WA",2008-07-01,2010-04-01,DL
"Salt Lake City, UT","Seattle, WA",2010-04-01,2010-10-01,WN
"Salt Lake City, UT","Seattle, WA",2010-10-01,2018-07-01,DL
"Minneapolis/St. Paul, MN","Sacramento, CA",2008-01-01,2010-01-01,NW
"Minneapolis/St. Paul, MN","Sacramento, CA",2010-01-01,2018-07-01,DL
"Burlington, VT","Miami, FL (Metropolitan Area)",2008-01-01,2008-04-01,B6
"Burlington, VT","Miami, FL (Metropolitan Area)",2008-07-01,2009-04-01,B6
"Burlington, VT","Miami, FL (Metropolitan Area)",2009-07-01,2009-10-01,B6
"Burlington, VT","Miami, FL (Metropolitan Area)",2010-01-01,2010-04-01,B6
"Burlington, VT","Miami, FL (Metropolitan Area)",2011-01-01,2011-04-01,B6
"Burlington, VT","Miami, FL (Metropolitan Area)",2012-01-01,2012-04-01,B6
"Atlanta, GA (Metropolitan Area)","Charlotte, NC",2008-01-01,2018-07-01,DL
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",2008-01-01,2008-07-01,FL
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",2008-10-01,2010-07-01,FL
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",2010-07-01,2010-10-01,US
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",2010-10-01,2011-07-01,FL
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",2011-07-01,2011-10-01,US
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",2011-10-01,2012-07-01,FL
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",2012-07-01,2014-07-01,US
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",2015-01-01,2015-04-01,US
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",2016-01-01,2016-04-01,AA
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",2016-10-01,2017-04-01,AA
"Columbus, OH","Phoenix, AZ",2008-01-01,2011-01-01,US
"Columbus, OH","Phoenix, AZ",2011-01-01,2011-10-01,WN
"Columbus, OH","Phoenix, AZ",2011-10-01,2012-01-01,US
"Columbus, OH","Phoenix, AZ",2012-01-01,2012-10-01,WN
"Columbus, OH","Phoenix, AZ",2012-10-01,2013-04-01,US
"Columbus, OH","Phoenix, AZ",2013-04-01,2013-10-01,WN
"Columbus, OH","Phoenix, AZ",2013-10-01,2014-07-01,US
"Columbus, OH","Phoenix, AZ",2014-07-01,2014-10-01,WN
"Columbus, OH","Phoenix, AZ",2014-10-01,2015-01-01,US
"Columbus, OH","Phoenix, AZ",2015-01-01,2015-10-01,WN
"Columbus, OH","Phoenix, AZ",2015-10-01,2016-01-01,AA
"Columbus, OH","Phoenix, AZ",2016-01-01,2016-10-01,WN
"Columbus, OH","Phoenix, AZ",2016-10-01,2018-01-01,AA
"Columbus, OH","Phoenix, AZ",2018-01-01,2018-04-01,WN
"Columbus, OH","Phoenix, AZ",2018-04-01,2018-07-01,AA
"Colorado Springs, CO","Phoenix, AZ",2008-01-01,2008-07-01,US
"Colorado Springs, CO","Phoenix, AZ",2008-10-01,2010-01-01,US
"Colorado Springs, CO","Phoenix, AZ",2012-04-01,2013-04-01,F9
"Amarillo, TX","Houston, TX",2008-04-01,2013-07-01,WN
"Amarillo, TX","Houston, TX",2013-07-01,2013-10-01,UA
"Amarillo, TX","Houston, TX",2013-10-01,2014-07-01,WN
"Amarillo, TX","Houston, TX",2014-10-01,2015-01-01,UA
"Amarillo, TX","Houston, TX",2015-01-01,2015-04-01,WN
"Orlando, FL","Seattle, WA",2008-01-01,2011-07-01,AS
"Orlando, FL","Seattle, WA",2011-07-01,2012-01-01,DL
"Orlando, FL","Seattle, WA",2012-01-01,2018-07-01,AS
"Atlanta, GA (Metropolitan Area)","Flint, MI",2008-01-01,2012-01-01,FL
"Atlanta, GA (Metropolitan Area)","Flint, MI",2012-01-01,2012-04-01,DL
"Atlanta, GA (Metropolitan Area)","Flint, MI",2012-04-01,2012-10-01,FL
"Atlanta, GA (Metropolitan Area)","Flint, MI",2012-10-01,2014-01-01,DL
"Atlanta, GA (Metropolitan Area)","Flint, MI",2014-04-01,2015-01-01,DL
"Atlanta, GA (Metropolitan Area)","Flint, MI",2015-04-01,2016-01-01,DL
"Atlanta, GA (Metropolitan Area)","Flint, MI",2016-04-01,2016-10-01,DL
"Atlanta, GA (Metropolitan Area)","Flint, MI",2017-07-01,2018-01-01,DL
"El Paso, TX","Houston, TX",2008-01-01,2018-07-01,WN
"Denver, CO","Phoenix, AZ",2008-01-01,2018-07-01,WN
"Denver, CO","Houston, TX",2008-01-01,2012-01-01,CO
"Denver, CO","Houston, TX",2012-01-01,2015-07-01,UA
"Denver, CO","Houston, TX",2015-07-01,2015-10-01,WN
"Denver, CO","Houston, TX",2015-10-01,2016-01-01,UA
"Denver, CO","Houston, TX",2016-01-01,2017-10-01,WN
"Denver, CO","Houston, TX",2017-10-01,2018-01-01,UA
"Denver, CO","Houston, TX",2018-01-01,2018-04-01,WN
"Denver, CO","Houston, TX",2018-04-01,2018-07-01,UA
"Buffalo, NY","Las Vegas, NV",2008-01-01,2018-07-01,WN
"Austin, TX","Phoenix, AZ",2008-01-01,2018-07-01,WN
"Seattle, WA","Tucson, AZ",2008-01-01,2018-07-01,AS
"Fort Myers, FL","Washington, DC (Metropolitan Area)",2008-01-01,2014-01-01,FL
"Fort Myers, FL","Washington, DC (Metropolitan Area)",2014-01-01,2018-07-01,WN
"Albany, NY","San Francisco, CA (Metropolitan Area)",2008-04-01,2008-10-01,UA
"Albany, NY","San Francisco, CA (Metropolitan Area)",2008-10-01,2009-01-01,WN
"Albany, NY","San Francisco, CA (Metropolitan Area)",2009-04-01,2010-01-01,WN
"Albany, NY","San Francisco, CA (Metropolitan Area)",2010-04-01,2010-07-01,WN
"Albany, NY","San Francisco, CA (Metropolitan Area)",2010-07-01,2010-10-01,UA
"Albany, NY","San Francisco, CA (Metropolitan Area)",2010-10-01,2011-01-01,WN
"Albany, NY","San Francisco, CA (Metropolitan Area)",2011-07-01,2012-01-01,WN
"Albany, NY","San Francisco, CA (Metropolitan Area)",2012-04-01,2013-01-01,UA
"Albany, NY","San Francisco, CA (Metropolitan Area)",2013-04-01,2014-01-01,WN
"Albany, NY","San Francisco, CA (Metropolitan Area)",2014-04-01,2015-01-01,WN
"Albany, NY","San Francisco, CA (Metropolitan Area)",2015-04-01,2016-01-01,WN
"Albany, NY","San Francisco, CA (Metropolitan Area)",2016-04-01,2016-07-01,WN
"Albany, NY","San Francisco, CA (Metropolitan Area)",2016-07-01,2017-01-01,UA
"Albany, NY","San Francisco, CA (Metropolitan Area)",2017-04-01,2018-01-01,WN
"Albany, NY","San Francisco, CA (Metropolitan Area)",2018-04-01,2018-07-01,UA
"Albuquerque, NM","Denver, CO",2008-01-01,2018-07-01,WN
"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",2008-01-01,2018-07-01,AA
"Boston, MA (Metropolitan Area)","Pittsburgh, PA",2008-01-01,2013-04-01,US
"Boston, MA (Metropolitan Area)","Pittsburgh, PA",2013-04-01,2013-10-01,B6
"Boston, MA (Metropolitan Area)","Pittsburgh, PA",2013-10-01,2014-04-01,US
"Boston, MA (Metropolitan Area)","Pittsburgh, PA",2014-04-01,2018-07-01,B6
"Nashville, TN","San Francisco, CA (Metropolitan Area)",2008-01-01,2018-07-01,WN
"Charlotte, NC","San Francisco, CA (Metropolitan Area)",2008-01-01,2015-07-01,US
"Charlotte, NC","San Francisco, CA (Metropolitan Area)",2015-07-01,2018-07-01,AA
"Cincinnati, OH","Las Vegas, NV",2008-01-01,2008-07-01,DL
"Cincinnati, OH","Las Vegas, NV",2009-01-01,2015-01-01,DL
"Cincinnati, OH","Las Vegas, NV",2015-01-01,2017-01-01,F9
"Cincinnati, OH","Las Vegas, NV",2017-01-01,2017-04-01,DL
"Cincinnati, OH","Las Vegas, NV",2017-04-01,2017-07-01,F9
"Cincinnati, OH","Las Vegas, NV",2017-07-01,2017-10-01,DL
"Cincinnati, OH","Las Vegas, NV",2017-10-01,2018-01-01,F9
"Cincinnati, OH","Las Vegas, NV",2018-01-01,2018-04-01,DL
"Cincinnati, OH","Las Vegas, NV",2018-04-01,2018-07-01,F9
"Dallas/Fort Worth, TX","Grand Rapids, MI",2010-07-01,2010-10-01,AA
"Dallas/Fort Worth, TX","Grand Rapids, MI",2011-07-01,2011-10-01,AA
"Dallas/Fort Worth, TX","Grand Rapids, MI",2012-07-01,2012-10-01,AA
"Dallas/Fort Worth, TX","Grand Rapids, MI",2013-07-01,2013-10-01,AA
"Dallas/Fort Worth, TX","Grand Rapids, MI",2014-04-01,2016-04-01,AA
"Dallas/Fort Worth, TX","Grand Rapids, MI",2016-07-01,2018-07-01,AA
"Birmingham, AL","Chicago, IL",2008-01-01,2018-01-01,WN
"Birmingham, AL","Chicago, IL",2018-01-01,2018-04-01,UA
"Birmingham, AL","Chicago, IL",2018-04-01,2018-07-01,WN
"Corpus Christi, TX","Houston, TX",2008-01-01,2011-10-01,WN
"Corpus Christi, TX","Houston, TX",2012-01-01,2014-07-01,WN
"Houston, TX","Washington, DC (Metropolitan Area)",2008-01-01,2012-01-01,CO
"Houston, TX","Washington, DC (Metropolitan Area)",2012-01-01,2015-07-01,UA
"Houston, TX","Washington, DC (Metropolitan Area)",2015-07-01,2015-10-01,WN
