city1,city2,start,end,carrier_lg
"Houston, TX","Raleigh/Durham, NC",2008-01-01,2012-01-01,CO
"Houston, TX","Raleigh/Durham, NC",2012-01-01,2012-04-01,UA
"Houston, TX","Raleigh/Durham, NC",2012-04-01,2012-10-01,WN
"Houston, TX","Raleigh/Durham, NC",2012-10-01,2013-01-01,UA
"Houston, TX","Raleigh/Durham, NC",2013-01-01,2014-01-01,WN
"Houston, TX","Raleigh/Durham, NC",2014-01-01,2014-04-01,UA
"Houston, TX","Raleigh/Durham, NC",2014-04-01,2015-01-01,WN
"Houston, TX","Raleigh/Durham, NC",2015-01-01,2015-04-01,UA
"Houston, TX","Raleigh/Durham, NC",2015-04-01,2016-01-01,WN
"Houston, TX","Raleigh/Durham, NC",2016-01-01,2018-07-01,UA
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2008-01-01,2009-04-01,FL
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2009-04-01,2009-07-01,US
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2009-07-01,2010-01-01,FL
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2010-01-01,2010-04-01,US
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2010-04-01,2012-04-01,FL
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2012-04-01,2012-10-01,US
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2012-10-01,2015-01-01,DL
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2015-01-01,2015-04-01,UA
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2015-04-01,2015-07-01,DL
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2015-07-01,2015-10-01,UA
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2015-10-01,2016-10-01,AA
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2016-10-01,2018-07-01,DL
"Seattle, WA","Washington, DC (Metropolitan Area)",2008-01-01,2011-01-01,UA
"Seattle, WA","Washington, DC (Metropolitan Area)",2011-01-01,2011-04-01,AS
"Seattle, WA","Washington, DC (Metropolitan Area)",2011-04-01,2014-01-01,UA
"Seattle, WA","Washington, DC (Metropolitan Area)",2014-01-01,2014-04-01,AS
"Seattle, WA","Washington, DC (Metropolitan Area)",2014-04-01,2014-10-01,UA
"Seattle, WA","Washington, DC (Metropolitan Area)",2014-10-01,2018-07-01,AS
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2008-04-01,2008-10-01,NW
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2008-10-01,2010-04-01,CO
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2010-04-01,2012-01-01,DL
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2012-01-01,2012-10-01,UA
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2012-10-01,2018-07-01,DL
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2008-01-01,2010-10-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2011-01-01,2011-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2012-01-01,2012-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2013-01-01,2013-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2014-01-01,2014-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2015-01-01,2015-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2016-01-01,2016-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2017-01-01,2017-04-01,G4
"Chicago, IL","Washington, DC (Metropolitan Area)",2008-01-01,2016-01-01,UA
"Chicago, IL","Washington, DC (Metropolitan Area)",2016-01-01,2016-04-01,WN
"Chicago, IL","Washington, DC (Metropolitan Area)",2016-04-01,2018-07-01,UA
"Orlando, FL","Washington, DC (Metropolitan Area)",2008-01-01,2012-07-01,WN
"Orlando, FL","Washington, DC (Metropolitan Area)",2012-07-01,2014-01-01,US
"Orlando, FL","Washington, DC (Metropolitan Area)",2014-01-01,2018-07-01,WN
"Miami, FL (Metropolitan Area)","San Diego, CA",2008-01-01,2008-04-01,AA
"Miami, FL (Metropolitan Area)","San Diego, CA",2008-04-01,2008-07-01,CO
"Miami, FL (Metropolitan Area)","San Diego, CA",2008-07-01,2009-07-01,AA
"Miami, FL (Metropolitan Area)","San Diego, CA",2009-07-01,2009-10-01,CO
"Miami, FL (Metropolitan Area)","San Diego, CA",2009-10-01,2010-07-01,AA
"Miami, FL (Metropolitan Area)","San Diego, CA",2010-07-01,2010-10-01,DL
"Miami, FL (Metropolitan Area)","San Diego, CA",2010-10-01,2018-07-01,AA
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2008-01-01,2008-10-01,AA
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2008-10-01,2009-01-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2009-01-01,2009-04-01,AA
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2009-04-01,2010-01-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2010-01-01,2010-04-01,AA
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2010-04-01,2010-07-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2010-07-01,2010-10-01,DL
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2010-10-01,2011-04-01,AA
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2011-04-01,2011-07-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2011-07-01,2012-01-01,DL
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2012-01-01,2012-04-01,AA
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2012-04-01,2012-07-01,DL
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2012-07-01,2018-07-01,UA
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2008-01-01,2009-07-01,YX
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2009-07-01,2014-04-01,FL
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2014-04-01,2018-07-01,WN
"Orlando, FL","Portland, OR",2008-01-01,2008-04-01,AS
"Orlando, FL","Portland, OR",2008-04-01,2009-01-01,DL
"Orlando, FL","Portland, OR",2009-01-01,2009-04-01,UA
"Orlando, FL","Portland, OR",2009-04-01,2010-01-01,WN
"Orlando, FL","Portland, OR",2010-01-01,2011-04-01,DL
"Orlando, FL","Portland, OR",2011-04-01,2011-07-01,WN
"Orlando, FL","Portland, OR",2011-07-01,2012-01-01,DL
"Orlando, FL","Portland, OR",2012-01-01,2014-01-01,UA
"Orlando, FL","Portland, OR",2014-01-01,2014-04-01,DL
"Orlando, FL","Portland, OR",2014-04-01,2016-07-01,UA
"Orlando, FL","Portland, OR",2016-07-01,2016-10-01,DL
"Orlando, FL","Portland, OR",2016-10-01,2017-04-01,UA
"Orlando, FL","Portland, OR",2017-04-01,2018-07-01,AS
"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",2008-01-01,2011-10-01,CO
"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",2011-10-01,2012-01-01,FL
"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",2012-01-01,2018-07-01,UA
"Kansas City, MO","San Francisco, CA (Metropolitan Area)",2008-01-01,2018-07-01,WN
"Dallas/Fort Worth, TX","El Paso, TX",2008-01-01,2018-07-01,WN
"San Antonio, TX","San Diego, CA",2008-01-01,2018-07-01,WN
"Detroit, MI","Memphis, TN",2008-01-01,2009-01-01,NW
"Detroit, MI","Memphis, TN",2009-04-01,2010-01-01,NW
"Detroit, MI","Memphis, TN",2010-01-01,2011-01-01,DL
"Detroit, MI","Memphis, TN",2011-07-01,2011-10-01,DL
"Detroit, MI","Memphis, TN",2012-07-01,2013-01-01,DL
"Detroit, MI","Memphis, TN",2013-07-01,2013-10-01,DL
"Orlando, FL","Rochester, NY",2008-01-01,2013-04-01,FL
"Orlando, FL","Rochester, NY",2013-04-01,2018-07-01,WN
"Chicago, IL","Oklahoma City, OK",2008-01-01,2010-01-01,AA
"Chicago, IL","Oklahoma City, OK",2010-01-01,2010-04-01,UA
"Chicago, IL","Oklahoma City, OK",2010-04-01,2012-07-01,AA
"Chicago, IL","Oklahoma City, OK",2012-07-01,2013-10-01,WN
"Chicago, IL","Oklahoma City, OK",2013-10-01,2014-04-01,FL
"Chicago, IL","Oklahoma City, OK",2014-04-01,2015-01-01,WN
"Chicago, IL","Oklahoma City, OK",2015-01-01,2017-01-01,AA
"Chicago, IL","Oklahoma City, OK",2017-01-01,2017-04-01,UA
"Chicago, IL","Oklahoma City, OK",2017-04-01,2018-04-01,AA
"Chicago, IL","Oklahoma City, OK",2018-04-01,2018-07-01,UA
"Atlantic City, NJ","Fort Myers, FL",2008-01-01,2012-07-01,NK
"Atlantic City, NJ","Fort Myers, FL",2012-10-01,2017-07-01,NK
"Albuquerque, NM","Phoenix, AZ",2008-01-01,2018-07-01,WN
"Chicago, IL","Sarasota/Bradenton, FL",2008-01-01,2012-10-01,FL
"Chicago, IL","Sarasota/Bradenton, FL",2012-10-01,2013-07-01,UA
"Chicago, IL","Sarasota/Bradenton, FL",2013-10-01,2014-07-01,UA
"Chicago, IL","Sarasota/Bradenton, FL",2014-10-01,2015-04-01,UA
"Chicago, IL","Sarasota/Bradenton, FL",2015-10-01,2016-04-01,UA
"Chicago, IL","Sarasota/Bradenton, FL",2017-01-01,2017-04-01,UA
"Chicago, IL","Sarasota/Bradenton, FL",2018-01-01,2018-04-01,UA
"Atlanta, GA (Metropolitan Area)","Rochester, NY",2008-01-01,2018-07-01,DL
"Seattle, WA","Spokane, WA",2008-01-01,2018-07-01,AS
"Denver, CO","Pittsburgh, PA",2008-01-01,2011-04-01,UA
"Denver, CO","Pittsburgh, PA",2011-04-01,2012-01-01,WN
"Denver, CO","Pittsburgh, PA",2012-01-01,2012-04-01,UA
"Denver, CO","Pittsburgh, PA",2012-04-01,2012-07-01,WN
"Denver, CO","Pittsburgh, PA",2012-07-01,2015-07-01,UA
"Denver, CO","Pittsburgh, PA",2015-07-01,2015-10-01,WN
"Denver, CO","Pittsburgh, PA",2015-10-01,2016-07-01,UA
"Denver, CO","Pittsburgh, PA",2016-07-01,2016-10-01,F9
"Denver, CO","Pittsburgh, PA",2016-10-01,2018-07-01,UA
"Detroit, MI","Orlando, FL",2008-01-01,2010-01-01,NW
"Detroit, MI","Orlando, FL",2010-01-01,2018-07-01,DL
"Houston, TX","New Orleans, LA",2008-01-01,2018-07-01,WN
"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",2008-10-01,2009-01-01,AA
"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",2010-10-01,2011-01-01,AA
"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",2011-04-01,2011-07-01,AA
"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",2011-10-01,2018-07-01,AA
"New Orleans, LA","Seattle, WA",2008-01-01,2008-04-01,AA
"New Orleans, LA","Seattle, WA",2008-04-01,2010-01-01,CO
"New Orleans, LA","Seattle, WA",2010-01-01,2010-04-01,AA
"New Orleans, LA","Seattle, WA",2010-04-01,2012-01-01,CO
"New Orleans, LA","Seattle, WA",2012-01-01,2014-07-01,UA
"New Orleans, LA","Seattle, WA",2014-07-01,2018-07-01,AS
"New Orleans, LA","Raleigh/Durham, NC",2008-10-01,2009-01-01,DL
"New Orleans, LA","Raleigh/Durham, NC",2009-01-01,2009-04-01,US
"New Orleans, LA","Raleigh/Durham, NC",2009-04-01,2010-01-01,DL
"New Orleans, LA","Raleigh/Durham, NC",2010-01-01,2010-04-01,WN
"New Orleans, LA","Raleigh/Durham, NC",2010-04-01,2010-07-01,DL
"New Orleans, LA","Raleigh/Durham, NC",2010-07-01,2011-04-01,US
"New Orleans, LA","Raleigh/Durham, NC",2011-04-01,2011-07-01,WN
"New Orleans, LA","Raleigh/Durham, NC",2011-10-01,2012-07-01,DL
"New Orleans, LA","Raleigh/Durham, NC",2012-10-01,2013-07-01,DL
"New Orleans, LA","Raleigh/Durham, NC",2014-10-01,2015-04-01,DL
"New Orleans, LA","Raleigh/Durham, NC",2015-10-01,2016-04-01,WN
"New Orleans, LA","Raleigh/Durham, NC",2016-04-01,2016-07-01,DL
"New Orleans, LA","Raleigh/Durham, NC",2016-10-01,2018-07-01,WN
"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)",2008-01-01,2012-01-01,WN
"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)",2012-01-01,2012-10-01,DL
"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)",2012-10-01,2013-07-01,WN
"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)",2013-07-01,2017-01-01,DL
"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)",2017-01-01,2017-04-01,AA
"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)",2017-04-01,2017-07-01,DL
"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)",2017-10-01,2018-01-01,AA
"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2008-01-01,2013-04-01,WN
"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2013-04-01,2013-10-01,US
