"","AIDS.Report.Number","Aircraft.Damage","Primary.Flight.Type"
"94","19861122078499I","MINOR","PERSONAL"
"95","19861125070329I","MINOR","PERSONAL"
"96","19861126080099I","MINOR","PERSONAL"
"97","19861130083589I","MINOR","SCHEDULED AIR CARRIER"
"98","19861202073189I","MINOR","AIR TAXI"
"99","19861213076549I","MINOR","PERSONAL"
"100","19861214074909I","MINOR","SCHEDULED AIR CARRIER"
"101","19861216077049I","MINOR","PERSONAL"
"102","19861218075279I","NONE","SCHEDULED AIR CARRIER"
"103","19861219078549I","MINOR","SCHEDULED AIR CARRIER"
"104","19861220076039I","MINOR","BUSINESS"
"105","19861223073779I","MINOR","SCHEDULED AIR CARRIER"
"106","19861223086799I","MINOR","PERSONAL"
"107","19861225081069I","MINOR","SCHEDULED AIR CARRIER"
"108","19861226072399I","MINOR","PERSONAL"
"109","19861228079609I","MINOR","PERSONAL"
"110","19861228079629I","MINOR","SCHEDULED AIR CARRIER"
"111","19861228081509I","MINOR","SCHEDULED AIR CARRIER"
"112","19861231081039I","MINOR","SCHEDULED AIR CARRIER"
"113","19861231081349I","MINOR","PERSONAL"
"114","19870328015079I","MINOR","ILLEGAL"
"115","19880530031619I","MINOR","PERSONAL"
"116","19790711018979I","MINOR","PERSONAL"
"117","19810622056889I","MINOR","BUSINESS"
"118","19831210071849I","MINOR","PERSONAL"
"119","19881212070339I","MINOR","ILLEGAL"
"120","19780426011029I","MINOR","PERSONAL"
"121","19810705059819I","MINOR","PERSONAL"
"122","19820606033369I","DESTROYED","PERSONAL"
"123","19880801057669I","MINOR","AIR TAXI"
"124","19820917056069I","MINOR","PERSONAL"
"125","19811122074619I","MINOR","PERSONAL"
"126","19790511026459I","SUBSTANTIAL","PERSONAL"
"127","19790712020459I","MINOR","PERSONAL"
"128","19860413019229I","MINOR","PERSONAL"
"129","19780112002739I","MINOR","PERSONAL"
"130","19790324011359I","MINOR","PERSONAL"
"131","19860119018879I","MINOR","PERSONAL"
"132","19850409021249I","MINOR","PERSONAL"
"133","19850814055279I","MINOR","PERSONAL"
"134","19860314009549I","MINOR","PERSONAL"
"135","19861128084609I","MINOR","PERSONAL"
"136","19800528051649I","MINOR","PERSONAL"
"137","19830813053239I","MINOR","PERSONAL"
"138","19871113077139I","MINOR","PERSONAL"
"139","19880613053489I","MINOR","PERSONAL"
"140","19820607027909I","MINOR","PERSONAL"
"141","19850728043029I","MINOR","PERSONAL"
"142","19880310017189I","MINOR","PERSONAL"
"143","19780516034069I","MINOR","PERSONAL"
"144","19830605037359I","MINOR","PERSONAL"
"145","19840406046919I","MINOR","PERSONAL"
"146","19861208075289I","MINOR","PERSONAL"
"147","19880624040339I","MINOR","PERSONAL"
"148","19830714042089I","MINOR","PERSONAL"
"149","19800615052641I","MINOR","PERSONAL"
"150","19830917065909I","MINOR","PERSONAL"
"151","19840710042569I","MINOR","PERSONAL"
"152","19850321017479I","MINOR","PERSONAL"
"153","19861021074769I","MINOR","PERSONAL"
"154","19880910063199I","MINOR","PERSONAL"
"155","19781101023799I","MINOR","PERSONAL"
"156","19810206021979I","MINOR","PERSONAL"
"157","19820822047289I","MINOR","PERSONAL"
"158","19821217068399I","MINOR","PERSONAL"
"159","19840409021729I","MINOR","PERSONAL"
"160","19860607037959I","MINOR","PERSONAL"
"161","19880924060329I","MINOR","PERSONAL"
"162","19801009077951I","MINOR","PERSONAL"
"163","19820504023019I","MINOR","PERSONAL"
"164","19860718058509I","MINOR","PERSONAL"
"165","19880718048229I","MINOR","PERSONAL"
"166","19880722036149I","MINOR","PERSONAL"
"167","19780116003249I","MINOR","PERSONAL"
"168","19801221088889I","MINOR","PERSONAL"
"169","19820101005359I","MINOR","PERSONAL"
"170","19830814047739I","MINOR","PERSONAL"
"171","19851209061219I","MINOR","PERSONAL"
"172","19780319009189I","SUBSTANTIAL","PERSONAL"
"173","19800202031049I","MINOR","PERSONAL"
"174","19821018058919I","MINOR","PERSONAL"
"175","19821121065579I","MINOR","PERSONAL"
"176","19821207066489I","MINOR","PERSONAL"
"177","19821212068319I","MINOR","PERSONAL"
"178","19870124004359I","MINOR","PERSONAL"
"179","19880426025249I","MINOR","PERSONAL"
"180","19880809044329I","MINOR","PERSONAL"
"181","19780722038719I","MINOR","PERSONAL"
"182","19790114002249I","MINOR","PERSONAL"
"183","19820515027659I","MINOR","PERSONAL"
"184","19830908065469I","MINOR","PERSONAL"
"185","19831102070149I","MINOR","PERSONAL"
"186","19850706050329I","MINOR","PERSONAL"
"187","19830213019349I","MINOR","PERSONAL"
"188","19830807044209I","MINOR","PERSONAL"
"189","19870126004649I","MINOR","AIR TAXI"
"190","19880806048119I","MINOR","PERSONAL"
"191","19840630031049I","MINOR","PERSONAL"
"192","19880626034029I","MINOR","PERSONAL"
"193","19880720040899I","MINOR","PERSONAL"
"194","19790224007579I","MINOR","PERSONAL"
"195","19801117090089I","MINOR","PERSONAL"
"196","19810718063629I","MINOR","PERSONAL"
"197","19810823070379I","MINOR","PERSONAL"
"198","19811119086159I","MINOR","PERSONAL"
"199","19820822053489I","MINOR","PERSONAL"
"200","19840930058039I","MINOR","PERSONAL"
"201","19850812075559I","MINOR","PERSONAL"
"202","19870712041329I","MINOR","PERSONAL"
"203","19800815066549I","MINOR","PERSONAL"
"204","19840409020229I","MINOR","PERSONAL"
"205","19841022066919I","MINOR","PERSONAL"
"206","19850811046449I","SUBSTANTIAL","PERSONAL"
"207","19851025060379I","MINOR","PERSONAL"
"208","19881029061209I","MINOR","PERSONAL"
"209","19780514033589I","MINOR","PERSONAL"
"210","19780806050359I","MINOR","PERSONAL"
"211","19781204022049I","MINOR","PERSONAL"
"212","19810920069949I","MINOR","PERSONAL"
"213","19821011057289I","MINOR","PERSONAL"
"214","19850712046389I","MINOR","PERSONAL"
"215","19860616039619I","MINOR","PERSONAL"
"216","19880428020429I","MINOR","PERSONAL"
"217","19880529057409I","MINOR","PERSONAL"
"218","19810308019179I","MINOR","PERSONAL"
"219","19840219042822I","MINOR","PERSONAL"
"220","19840501027529I","MINOR","PERSONAL"
"221","19850629037329I","MINOR","PERSONAL"
"222","19850907059179I","MINOR","PERSONAL"
"223","19870218008079I","MINOR","PERSONAL"
"224","19870727082309I","SUBSTANTIAL","PERSONAL"
"225","19780906018009I","MINOR","PERSONAL"
"226","19790922051069I","MINOR","PERSONAL"
"227","19800228029429I","MINOR","PERSONAL"
"228","19800724062359I","MINOR","PERSONAL"
"229","19820402016489I","MINOR","PERSONAL"
"230","19840415020719I","MINOR","PERSONAL"
"231","19860907068189I","MINOR","PERSONAL"
"232","19870207002239I","MINOR","PERSONAL"
"233","19881012060029I","MINOR","PERSONAL"
"234","19780214006569I","MINOR","PERSONAL"
"235","19780909018629I","MINOR","PERSONAL"
"236","19790201004269I","MINOR","AIR TAXI"
"237","19800407047249I","MINOR","PERSONAL"
"238","19800417049239I","MINOR","PERSONAL"
"239","19810215005469I","MINOR","PERSONAL"
"240","19830128015899I","MINOR","PERSONAL"
"241","19830510024219I","MINOR","PERSONAL"
"242","19870104013319I","MINOR","PERSONAL"
"243","19880306012629I","MINOR","PERSONAL"
"244","19880706062159I","MINOR","PERSONAL"
"245","19881219066449I","MINOR","PERSONAL"
"246","19780228000389I","MINOR","PERSONAL"
"247","19810329021179I","MINOR","PERSONAL"
"248","19820327028829I","SUBSTANTIAL","PERSONAL"
"249","19840813048969I","MINOR","PERSONAL"
"250","19880816052119I","MINOR","PERSONAL"
"251","19780524040009I","MINOR","PERSONAL"
"252","19790314009129I","MINOR","PERSONAL"
"253","19800927071589I","MINOR","PERSONAL"
"254","19840101008009I","MINOR","PERSONAL"
"255","19850904059889I","MINOR","PERSONAL"
"256","19880326016129I","MINOR","PERSONAL"
"257","19781115026739I","MINOR","PERSONAL"
"258","19781215025229I","MINOR","PERSONAL"
"259","19790626017181I","MINOR","PERSONAL"
"260","19790921051379I","MINOR","PERSONAL"
"261","19811024076079I","MINOR","PERSONAL"
"262","19820424040029I","MINOR","PERSONAL"
"263","19830306013179I","MINOR","PERSONAL"
"264","19840419021469I","MINOR","PERSONAL"
"265","19871001066749I","MINOR","PERSONAL"
"266","19810704053829I","MINOR","PERSONAL"
"267","19820703039029I","MINOR","PERSONAL"
"268","19821005060819I","MINOR","PERSONAL"
"269","19850417020249I","MINOR","BUSINESS"
"270","19790610014769I","MINOR","PERSONAL"
"271","19801116084259I","MINOR","PERSONAL"
"272","19810818072119I","MINOR","PERSONAL"
"273","19820808053649I","MINOR","PERSONAL"
"274","19840923053079I","MINOR","PERSONAL"
"275","19850707066579I","MINOR","PERSONAL"
"276","19850915061759I","MINOR","PERSONAL"
"277","19870425019389I","MINOR","PERSONAL"
"278","19880911055299I","MINOR","PERSONAL"
"279","19780604041819I","MINOR","PERSONAL"
"280","19780903017559I","MINOR","PERSONAL"
"281","19791002051119I","MINOR","PERSONAL"
"282","19800713060889I","MINOR","PERSONAL"
"283","19780126005029I","MINOR","PERSONAL"
"284","19780729044379I","MINOR","PERSONAL"
"285","19780805050089I","MINOR","PERSONAL"
"286","19830815062029I","MINOR","PERSONAL"
"287","19840410021239I","MINOR","PERSONAL"
"288","19840426032179I","MINOR","PERSONAL"
"289","19850317019259I","MINOR","PERSONAL"
"290","19850603026359I","SUBSTANTIAL","PERSONAL"
"291","19870804049719I","MINOR","PERSONAL"
"292","19780110002459I","MINOR","PERSONAL"
"293","19790828033029I","MINOR","PERSONAL"
"294","19791013052609I","MINOR","PERSONAL"
"295","19810906062359I","MINOR","PERSONAL"
"296","19810920069789I","MINOR","PERSONAL"
"297","19811205086509I","MINOR","PERSONAL"
"298","19850911067009I","MINOR","PERSONAL"
"299","19871031066229I","MINOR","PERSONAL"
"300","19800707077569I","MINOR","PERSONAL"
"301","19820527055539I","MINOR","PERSONAL"
"302","19821125069469I","MINOR","PERSONAL"
"303","19840728050249I","MINOR","PERSONAL"
"304","19841013072909I","MINOR","PERSONAL"
"305","19870426030369I","MINOR","PERSONAL"
"306","19870531023159I","MINOR","PERSONAL"
"307","19870731051379I","MINOR","PERSONAL"
"308","19780310014789I","MINOR","PERSONAL"
"309","19790526027849I","MINOR","PERSONAL"
"310","19800504043589I","MINOR","PERSONAL"
"311","19801231088239I","MINOR","PERSONAL"
"312","19810101005249I","MINOR","PERSONAL"
"313","19821120065349I","MINOR","PERSONAL"
"314","19851222068319I","MINOR","PERSONAL"
"315","19860727054009I","MINOR","PERSONAL"
"316","19860830047989I","MINOR","PERSONAL"
"317","19861226079979I","MINOR","PERSONAL"
"318","19870408028049I","MINOR","PERSONAL"
"319","19870728067069I","MINOR","PERSONAL"
"320","19870813049579I","MINOR","PERSONAL"
"321","19880201012869I","MINOR","PERSONAL"
"322","19780901016689I","MINOR","PERSONAL"
"323","19790809030469I","MINOR","PERSONAL"
"324","19820420031179I","MINOR","PERSONAL"
"325","19880228011819I","MINOR","PERSONAL"
"326","19880820056659I","MINOR","PERSONAL"
"327","19881027048309I","MINOR","PERSONAL"
"328","19790526027989I","MINOR","PERSONAL"
"329","19790818031949I","MINOR","PERSONAL"
"330","19800404047649I","MINOR","PERSONAL"
"331","19810426037209I","NONE","PERSONAL"
"332","19831203071439I","MINOR","PERSONAL"
"333","19850811073959I","MINOR","PERSONAL"
"334","19880916065579I","MINOR","PERSONAL"
"335","19780623036249I","SUBSTANTIAL","PERSONAL"
"336","19790627017499I","MINOR","PERSONAL"
"337","19810927080369I","MINOR","PERSONAL"
"338","19830311011539I","MINOR","PERSONAL"
"339","19831231073519I","MINOR","PERSONAL"
"340","19880605040319I","MINOR","PERSONAL"
"341","19790218006559I","MINOR","PERSONAL"
"342","19791013052639I","MINOR","PERSONAL"
"343","19800708060059I","MINOR","PERSONAL"
"344","19820410029209I","MINOR","PERSONAL"
"345","19820904059439I","MINOR","PERSONAL"
"346","19840508021259I","MINOR","PERSONAL"
"347","19870509022729I","MINOR","PERSONAL"
"348","19871010080709I","MINOR","PERSONAL"
"349","19780503031709I","MINOR","PERSONAL"
"350","19780622047239I","MINOR","PERSONAL"
"351","19790228008449I","MINOR","PERSONAL"
"352","19800703059449I","MINOR","PERSONAL"
"353","19810707056229I","MINOR","PERSONAL"
"354","19811008076929I","MINOR","PERSONAL"
"355","19811119086189I","MINOR","PERSONAL"
"356","19821226068979I","MINOR","PERSONAL"
"357","19841221074619I","MINOR","PERSONAL"
"358","19850814044469I","MINOR","PERSONAL"
"359","19860519055029I","MINOR","PERSONAL"
"360","19860702060459I","MINOR","PERSONAL"
"361","19880822052809I","MINOR","PERSONAL"
"362","19780221000549I","MINOR","PERSONAL"
"363","19780528040569I","SUBSTANTIAL","PERSONAL"
"364","19790203005049I","MINOR","PERSONAL"
"365","19790916023409I","MINOR","PERSONAL"
"366","19850414024089I","MINOR","PERSONAL"
"367","19850812051029I","MINOR","PERSONAL"
"368","19870327007729I","MINOR","PERSONAL"
"369","19780218007269I","MINOR","BUSINESS"
"370","19780408009069I","SUBSTANTIAL","PERSONAL"
"371","19780528040649I","MINOR","PERSONAL"
"372","19790427100599I","MINOR","PERSONAL"
"373","19790904034379I","MINOR","PERSONAL"
"374","19791015052589I","MINOR","PERSONAL"
"375","19820319009779I","MINOR","PERSONAL"
"376","19851013064769I","MINOR","PERSONAL"
"377","19790825032599I","MINOR","PERSONAL"
"378","19820403013139I","MINOR","PERSONAL"
"379","19830212008289I","MINOR","PERSONAL"
"380","19831111070879I","MINOR","PERSONAL"
"381","19840201009909I","MINOR","PERSONAL"
"382","19840930055949I","MINOR","PERSONAL"
"383","19870404036079I","MINOR","PERSONAL"
"384","19870919066179I","MINOR","PERSONAL"
"385","19881109067539I","MINOR","PERSONAL"
"386","19780126005039I","MINOR","PERSONAL"
"387","19780127002049I","MINOR","PERSONAL"
"388","19790917023529I","MINOR","PERSONAL"
"389","19830627035409I","MINOR","PERSONAL"
"390","19830905065329I","MINOR","PERSONAL"
"391","19850507027609I","MINOR","PERSONAL"
"392","19870113003569I","MINOR","PERSONAL"
"393","19881001042729I","MINOR","PERSONAL"
"394","19780409009639I","MINOR","PERSONAL"
"395","19780526040179I","MINOR","PERSONAL"
"396","19780612045439I","MINOR","PERSONAL"
"397","19780714043959I","MINOR","PERSONAL"
"398","19780816036919I","MINOR","PERSONAL"
"399","19781113026989I","SUBSTANTIAL","PERSONAL"
"400","19790217006359I","MINOR","PERSONAL"
"401","19790329012379I","MINOR","PERSONAL"
"402","19790911035219I","MINOR","PERSONAL"
"403","19800425046259I","MINOR","PERSONAL"
"404","19800613053529I","MINOR","PERSONAL"
"405","19800724062909I","MINOR","PERSONAL"
"406","19800816067079I","MINOR","PERSONAL"
"407","19801012073829I","MINOR","PERSONAL"
"408","19810318021489I","MINOR","PERSONAL"
"409","19810322031509I","MINOR","PERSONAL"
"410","19810726057639I","MINOR","PERSONAL"
"411","19811213088509I","MINOR","PERSONAL"
"412","19820206012329I","MINOR","PERSONAL"
"413","19821017061449I","MINOR","PERSONAL"
"414","19830219015599I","MINOR","PERSONAL"
"415","19830325018439I","MINOR","PERSONAL"
"416","19830523031819I","MINOR","PERSONAL"
"417","19860521033809I","MINOR","PERSONAL"
"418","19860622033729I","MINOR","PERSONAL"
"419","19860817048129I","MINOR","PERSONAL"
"420","19870413031519I","MINOR","PERSONAL"
"421","19870730046459I","MINOR","PERSONAL"
"422","19871209081059I","MINOR","PERSONAL"
"423","19880326024629I","SUBSTANTIAL","PERSONAL"
"424","19880529029089I","MINOR","PERSONAL"
"425","19790203004639I","MINOR","PERSONAL"
"426","19790704018469I","MINOR","PERSONAL"
"427","19810517035459I","MINOR","PERSONAL"
"428","19810804064629I","MINOR","AIR TAXI"
"429","19870311026709I","MINOR","PERSONAL"
"430","19881221069169I","MINOR","PERSONAL"
"431","19780513033689I","MINOR","PERSONAL"
"432","19790226007869I","MINOR","PERSONAL"
"433","19790723021249I","MINOR","PERSONAL"
"434","19800531052249I","MINOR","PERSONAL"
"435","19820416033359I","MINOR","PERSONAL"
"436","19820803046449I","MINOR","PERSONAL"
"437","19840408050099I","MINOR","PERSONAL"
"438","19851010054869I","MINOR","PERSONAL"
"439","19880621052589I","MINOR","PERSONAL"
"440","19780902017059I","MINOR","PERSONAL"
"441","19791114056059I","MINOR","PERSONAL"
"442","19800526052069I","MINOR","PERSONAL"
"443","19840722075109I","MINOR","PERSONAL"
"444","19861008075829I","MINOR","PERSONAL"
"445","19881023062009I","MINOR","PERSONAL"
"446","19780901016579I","MINOR","PERSONAL"
"447","19790803029939I","MINOR","PERSONAL"
"448","19790828032989I","MINOR","PERSONAL"
"449","19810415033089I","MINOR","PERSONAL"
"450","19820321033069I","MINOR","PERSONAL"
"451","19870402030169I","MINOR","PERSONAL"
"452","19780304015249I","MINOR","PERSONAL"
"453","19780528040679I","MINOR","PERSONAL"
"454","19780829038249I","MINOR","PERSONAL"
"455","19790103001859I","MINOR","PERSONAL"
"456","19790201004339I","MINOR","PERSONAL"
"457","19810201009729I","MINOR","PERSONAL"
"458","19811103082379I","MINOR","PERSONAL"
"459","19811212086779I","MINOR","PERSONAL"
"460","19830130009459I","MINOR","PERSONAL"
"461","19830516028919I","MINOR","PERSONAL"
"462","19850126005379I","MINOR","PERSONAL"
"463","19850324024589I","MINOR","PERSONAL"
"464","19860117003489I","MINOR","PERSONAL"
"465","19870701048089I","MINOR","PERSONAL"
"466","19880812032539I","MINOR","PERSONAL"
"467","19780416010829I","MINOR","PERSONAL"
"468","19780926028579I","MINOR","PERSONAL"
"469","19781027027389I","MINOR","PERSONAL"
"470","19790401013779I","MINOR","PERSONAL"
"471","19790512028639I","MINOR","PERSONAL"
"472","19790615016529I","MINOR","PERSONAL"
"473","19790803029909I","MINOR","PERSONAL"
"474","19800831065979I","MINOR","PERSONAL"
"475","19801027077979I","MINOR","PERSONAL"
"476","19810304018859I","MINOR","PERSONAL"
"477","19830316017679I","MINOR","PERSONAL"
"478","19780408008969I","MINOR","PERSONAL"
"479","19780704042169I","MINOR","PERSONAL"
"480","19780804049739I","MINOR","PERSONAL"
"481","19780923027179I","MINOR","PERSONAL"
"482","19790303010969I","MINOR","PERSONAL"
"483","19810409023539I","MINOR","PERSONAL"
"484","19810623055939I","MINOR","PERSONAL"
"485","19810717053689I","MINOR","PERSONAL"
"486","19811012084229I","MINOR","PERSONAL"
"487","19820809044789I","MINOR","PERSONAL"
"488","19821027065559I","MINOR","PERSONAL"
"489","19840117010529I","MINOR","PERSONAL"
"490","19860828062809I","MINOR","PERSONAL"
"491","19880601031119I","MINOR","PERSONAL"
"492","19781028027569I","MINOR","PERSONAL"
"493","19781119026319I","MINOR","PERSONAL"
"494","19790615016719I","MINOR","PERSONAL"
"495","19800308038269I","MINOR","PERSONAL"
"496","19821215065839I","MINOR","PERSONAL"
"497","19840120009629I","MINOR","PERSONAL"
"498","19851228070129I","MINOR","PERSONAL"
"499","19870124003829I","MINOR","PERSONAL"
"500","19780527041059I","MINOR","PERSONAL"
"501","19810322021319I","MINOR","BUSINESS"
"502","19871114076429I","MINOR","PERSONAL"
"503","19780301013719I","MINOR","PERSONAL"
"504","19780604041739I","MINOR","PERSONAL"
"505","19780723038779I","MINOR","PERSONAL"
"506","19781020029139I","MINOR","PERSONAL"
"507","19790123003749I","MINOR","PERSONAL"
"508","19790211006779I","MINOR","PERSONAL"
"509","19790307018969I","MINOR","PERSONAL"
"510","19790401013699I","MINOR","PERSONAL"
"511","19790408012069I","MINOR","PERSONAL"
"512","19790416023029I","MINOR","PERSONAL"
"513","19790703018459I","MINOR","PERSONAL"
"514","19790724019629I","MINOR","BUSINESS"
"515","19790828033079I","MINOR","PERSONAL"
"516","19791031056389I","MINOR","PERSONAL"
"517","19791110054989I","MINOR","PERSONAL"
"518","19791118044469I","MINOR","PERSONAL"
"519","19800426046309I","MINOR","PERSONAL"
"520","19800626058809I","MINOR","PERSONAL"
"521","19800823066239I","MINOR","PERSONAL"
"522","19810510029499I","MINOR","PERSONAL"
"523","19810607043309I","MINOR","PERSONAL"
"524","19811023075699I","MINOR","PERSONAL"
"525","19811112087679I","MINOR","PERSONAL"
"526","19820130003419I","MINOR","PERSONAL"
"527","19820308012169I","MINOR","PERSONAL"
"528","19820526033439I","MINOR","PERSONAL"
"529","19820717039079I","MINOR","PERSONAL"
"530","19820724070459I","MINOR","PERSONAL"
"531","19821001055519I","MINOR","PERSONAL"
"532","19830519031839I","MINOR","PERSONAL"
"533","19840102008039I","MINOR","PERSONAL"
"534","19840107036079I","MINOR","PERSONAL"
"535","19840224012129I","MINOR","PERSONAL"
"536","19841013059339I","MINOR","PERSONAL"
"537","19850118002669I","MINOR","PERSONAL"
"538","19850727051119I","MINOR","PERSONAL"
"539","19851005055819I","MINOR","PERSONAL"
"540","19860909052209I","MINOR","PERSONAL"
"541","19860916054369I","MINOR","PERSONAL"
"542","19861221076469I","MINOR","PERSONAL"
"543","19870528067689I","MINOR","PERSONAL"
"544","19880117006079I","MINOR","PERSONAL"
"545","19880529034409I","MINOR","PERSONAL"
"546","19880803052659I","MINOR","PERSONAL"
"547","19880831057219I","MINOR","PERSONAL"
"548","19881126070579I","MINOR","PERSONAL"
"549","19881129063169I","MINOR","PERSONAL"
"550","19780710043049I","MINOR","PERSONAL"
"551","19780718043499I","MINOR","PERSONAL"
"552","19820705037659I","MINOR","PERSONAL"
"553","19830720038459I","MINOR","PERSONAL"
"554","19870328024819I","MINOR","PERSONAL"
"555","19780124004639I","MINOR","PERSONAL"
"556","19780405008119I","MINOR","PERSONAL"
"557","19810306021389I","MINOR","PERSONAL"
"558","19830215014989I","MINOR","PERSONAL"
"559","19840107010129I","MINOR","PERSONAL"
"560","19840324021819I","MINOR","PERSONAL"
"561","19860926061359I","MINOR","PERSONAL"
"562","19870201012999I","MINOR","PERSONAL"
"563","19870410021519I","MINOR","PERSONAL"
"564","19880601029379I","MINOR","PERSONAL"
"565","19880819052109I","MINOR","PERSONAL"
"566","19790929042239I","MINOR","PERSONAL"
"567","19801224088719I","MINOR","PERSONAL"
"568","19810214017209I","MINOR","PERSONAL"
"569","19810412025889I","MINOR","PERSONAL"
"570","19830918066009I","MINOR","PERSONAL"
"571","19831121072359I","MINOR","PERSONAL"
"572","19831207071729I","MINOR","PERSONAL"
"573","19850511025919I","MINOR","PERSONAL"
"574","19860111003319I","MINOR","PERSONAL"
"575","19870729063739I","MINOR","PERSONAL"
"576","19880130004699I","MINOR","PERSONAL"
"577","19880901057389I","MINOR","PERSONAL"
