"","AIDS.Report.Number","Aircraft.Damage","Primary.Flight.Type"
"1","19820413800929I","MINOR","PERSONAL"
"2","19860103068529I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"3","19860126003639I","MINOR","SCHEDULED AIR CARRIER"
"4","19860202012489I","MINOR","AIR TAXI"
"5","19860203003509I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"6","19860302022539I","MINOR","PERSONAL"
"7","19860311018339I","MINOR","PERSONAL"
"8","19860314012969I","MINOR","SCHEDULED AIR CARRIER"
"9","19860318020469I","MINOR","BUSINESS"
"10","19860322015829I","MINOR","PERSONAL"
"11","19860325039869I","MINOR","PERSONAL"
"12","19860401086249I","MINOR","AIR TAXI"
"13","19860405081859I","MINOR","AIR TAXI"
"14","19860413083439I","MINOR","PERSONAL"
"15","19860427022829I","MINOR","PERSONAL"
"16","19860428059389I","MINOR","SCHEDULED AIR CARRIER"
"17","19860502059409I","MINOR","BUSINESS"
"18","19860504051669I","MINOR","PERSONAL"
"19","19860513083519I","MINOR","PERSONAL"
"20","19860525033269I","MINOR","SCHEDULED AIR CARRIER"
"21","19860525060419I","MINOR","SCHEDULED AIR CARRIER"
"22","19860606036249I","MINOR","SCHEDULED AIR CARRIER"
"23","19860610072709I","MINOR","PERSONAL"
"24","19860610082509I","MINOR","AIR TAXI"
"25","19860616058169I","MINOR","SCHEDULED AIR CARRIER"
"26","19860617040759I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"27","19860623056209I","MINOR","SCHEDULED AIR CARRIER"
"28","19860627050129I","MINOR","SCHEDULED AIR CARRIER"
"29","19860629082379I","MINOR","PERSONAL"
"30","19860629083729I","MINOR","AIR TAXI"
"31","19860703056069I","MINOR","SCHEDULED AIR CARRIER"
"32","19860707042719I","MINOR","SCHEDULED AIR CARRIER"
"33","19860707053499I","MINOR","SCHEDULED AIR CARRIER"
"34","19860708049929I","MINOR","SCHEDULED AIR CARRIER"
"35","19860709067069I","MINOR","SCHEDULED AIR CARRIER"
"36","19860710040939I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"37","19860710050319I","MINOR","SCHEDULED AIR CARRIER"
"38","19860711042169I","MINOR","PERSONAL"
"39","19860714059889I","MINOR","SCHEDULED AIR CARRIER"
"40","19860717050379I","MINOR","SCHEDULED AIR CARRIER"
"41","19860717060679I","MINOR","PERSONAL"
"42","19860718055159I","MINOR","AIR TAXI"
"43","19860718058769I","MINOR","SCHEDULED AIR CARRIER"
"44","19860720051049I","MINOR","SCHEDULED AIR CARRIER"
"45","19860721055709I","MINOR","SCHEDULED AIR CARRIER"
"46","19860729078189I","MINOR","PERSONAL"
"47","19860730050349I","MINOR","SCHEDULED AIR CARRIER"
"48","19860802050289I","MINOR","SCHEDULED AIR CARRIER"
"49","19860803042689I","MINOR","SCHEDULED AIR CARRIER"
"50","19860803056829I","MINOR","PERSONAL"
"51","19860803059399I","MINOR","PERSONAL"
"52","19860804047349I","MINOR","SCHEDULED AIR CARRIER"
"53","19860808063599I","MINOR","PERSONAL"
"54","19860810057359I","MINOR","PERSONAL"
"55","19860810087129I","DESTROYED","SCHEDULED AIR CARRIER"
"56","19860813046649I","MINOR","PERSONAL"
"57","19860813069519I","MINOR","PERSONAL"
"58","19860818057919I","MINOR","SCHEDULED AIR CARRIER"
"59","19860830057299I","MINOR","PERSONAL"
"60","19860830079129I","MINOR","PERSONAL"
"61","19860903061559I","MINOR","SCHEDULED AIR CARRIER"
"62","19860904067809I","MINOR","PERSONAL"
"63","19860905079709I","SUBSTANTIAL","PERSONAL"
"64","19860907055049I","MINOR","PERSONAL"
"65","19860908055829I","MINOR","AIR TAXI"
"66","19860913056639I","MINOR","SCHEDULED AIR CARRIER"
"67","19860914053079I","MINOR","PERSONAL"
"68","19860914073669I","MINOR","SCHEDULED AIR CARRIER"
"69","19860918067639I","MINOR","PERSONAL"
"70","19860925059779I","MINOR","SCHEDULED AIR CARRIER"
"71","19860929063289I","MINOR","SCHEDULED AIR CARRIER"
"72","19860930063299I","MINOR","SCHEDULED AIR CARRIER"
"73","19861004075129I","MINOR","PERSONAL"
"74","19861012048639I","MINOR","PERSONAL"
"75","19861018067659I","MINOR","SCHEDULED AIR CARRIER"
"76","19861019074639I","MINOR","PERSONAL"
"77","19861021080769I","MINOR","PERSONAL"
"78","19861024079641I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"79","19861024079642I","SUBSTANTIAL","SCHEDULED AIR CARRIER"
"80","19861027080799I","MINOR","SCHEDULED AIR CARRIER"
"81","19861029079089I","MINOR","SCHEDULED AIR CARRIER"
"82","19861030078489I","SUBSTANTIAL","PERSONAL"
"83","19861101080479I","SUBSTANTIAL","AIR TAXI"
"84","19861104069469I","MINOR","SCHEDULED AIR CARRIER"
"85","19861106077389I","MINOR","PERSONAL"
"86","19861112073369I","MINOR","SCHEDULED AIR CARRIER"
"87","19861114086889I","MINOR","PERSONAL"
"88","19861115069679I","MINOR","SCHEDULED AIR CARRIER"
"89","19861115073899I","MINOR","SCHEDULED AIR CARRIER"
"90","19861116071709I","MINOR","SCHEDULED AIR CARRIER"
"91","19861118073239I","MINOR","AIR TAXI"
"92","19861119081229I","MINOR","SCHEDULED AIR CARRIER"
"93","19861121073139I","MINOR","PERSONAL"
