city1,city2,start,end,carrier_low
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2009-10-01,2010-04-01,US
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2010-04-01,2012-07-01,AA
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2012-07-01,2012-10-01,UA
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2012-10-01,2013-01-01,AA
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2013-01-01,2013-07-01,DL
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2013-07-01,2013-10-01,FL
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2013-10-01,2015-01-01,AA
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2015-01-01,2016-01-01,WN
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2016-01-01,2016-07-01,UA
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2016-07-01,2017-07-01,WN
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2017-07-01,2018-07-01,G4
"Las Vegas, NV","Miami, FL (Metropolitan Area)",2008-01-01,2009-01-01,NK
"Las Vegas, NV","Miami, FL (Metropolitan Area)",2009-01-01,2009-04-01,WN
"Las Vegas, NV","Miami, FL (Metropolitan Area)",2009-04-01,2011-10-01,NK
"Las Vegas, NV","Miami, FL (Metropolitan Area)",2011-10-01,2012-01-01,WN
"Las Vegas, NV","Miami, FL (Metropolitan Area)",2012-01-01,2016-01-01,NK
"Las Vegas, NV","Miami, FL (Metropolitan Area)",2016-01-01,2017-04-01,F9
"Las Vegas, NV","Miami, FL (Metropolitan Area)",2017-04-01,2017-10-01,NK
"Las Vegas, NV","Miami, FL (Metropolitan Area)",2017-10-01,2018-01-01,F9
"Las Vegas, NV","Miami, FL (Metropolitan Area)",2018-01-01,2018-07-01,NK
"Charleston, SC","Houston, TX",2011-04-01,2011-07-01,WN
"Charleston, SC","Houston, TX",2012-04-01,2012-07-01,WN
