city1,city2,start,end,carrier_low
"Chicago, IL","Portland, OR",2013-10-01,2014-01-01,AA
"Chicago, IL","Portland, OR",2014-01-01,2014-04-01,AS
"Chicago, IL","Portland, OR",2014-04-01,2014-07-01,WN
"Chicago, IL","Portland, OR",2014-07-01,2014-10-01,NK
"Chicago, IL","Portland, OR",2014-10-01,2015-04-01,WN
"Chicago, IL","Portland, OR",2015-04-01,2015-10-01,NK
"Chicago, IL","Portland, OR",2015-10-01,2016-01-01,WN
"Chicago, IL","Portland, OR",2016-01-01,2016-04-01,AS
"Chicago, IL","Portland, OR",2016-04-01,2016-07-01,WN
"Chicago, IL","Portland, OR",2016-07-01,2016-10-01,NK
"Chicago, IL","Portland, OR",2016-10-01,2017-01-01,WN
"Chicago, IL","Portland, OR",2017-01-01,2017-04-01,AS
"Chicago, IL","Portland, OR",2017-04-01,2017-10-01,NK
"Chicago, IL","Portland, OR",2017-10-01,2018-07-01,AS
"Chicago, IL","San Antonio, TX",2008-01-01,2008-04-01,AA
"Chicago, IL","San Antonio, TX",2008-04-01,2008-07-01,WN
"Chicago, IL","San Antonio, TX",2008-07-01,2008-10-01,AA
"Chicago, IL","San Antonio, TX",2008-10-01,2018-07-01,WN
"Des Moines, IA","Phoenix, AZ",2008-01-01,2008-10-01,NW
"Des Moines, IA","Phoenix, AZ",2008-10-01,2009-04-01,AA
"Des Moines, IA","Phoenix, AZ",2009-04-01,2009-07-01,US
"Des Moines, IA","Phoenix, AZ",2009-07-01,2009-10-01,AA
"Des Moines, IA","Phoenix, AZ",2009-10-01,2010-01-01,UA
"Des Moines, IA","Phoenix, AZ",2010-01-01,2010-04-01,AA
"Des Moines, IA","Phoenix, AZ",2010-04-01,2010-10-01,DL
"Des Moines, IA","Phoenix, AZ",2010-10-01,2011-01-01,UA
"Des Moines, IA","Phoenix, AZ",2011-01-01,2011-04-01,AA
"Des Moines, IA","Phoenix, AZ",2011-04-01,2011-10-01,DL
"Des Moines, IA","Phoenix, AZ",2011-10-01,2013-01-01,F9
"Des Moines, IA","Phoenix, AZ",2013-01-01,2013-04-01,UA
"Des Moines, IA","Phoenix, AZ",2013-04-01,2013-07-01,F9
"Des Moines, IA","Phoenix, AZ",2013-07-01,2013-10-01,DL
"Des Moines, IA","Phoenix, AZ",2013-10-01,2015-01-01,F9
"Des Moines, IA","Phoenix, AZ",2015-01-01,2015-04-01,WN
"Des Moines, IA","Phoenix, AZ",2015-04-01,2015-07-01,F9
"Des Moines, IA","Phoenix, AZ",2015-07-01,2016-01-01,AA
"Des Moines, IA","Phoenix, AZ",2016-01-01,2017-01-01,G4
"Des Moines, IA","Phoenix, AZ",2017-01-01,2017-04-01,F9
"Des Moines, IA","Phoenix, AZ",2017-04-01,2018-01-01,G4
"Des Moines, IA","Phoenix, AZ",2018-01-01,2018-04-01,F9
"Des Moines, IA","Phoenix, AZ",2018-04-01,2018-07-01,G4
"Charleston, SC","New York City, NY (Metropolitan Area)",2008-01-01,2009-04-01,DL
"Charleston, SC","New York City, NY (Metropolitan Area)",2009-04-01,2009-10-01,CO
"Charleston, SC","New York City, NY (Metropolitan Area)",2009-10-01,2010-01-01,DL
"Charleston, SC","New York City, NY (Metropolitan Area)",2010-01-01,2010-04-01,CO
"Charleston, SC","New York City, NY (Metropolitan Area)",2010-04-01,2012-07-01,DL
"Charleston, SC","New York City, NY (Metropolitan Area)",2012-07-01,2012-10-01,UA
"Charleston, SC","New York City, NY (Metropolitan Area)",2012-10-01,2013-01-01,US
"Charleston, SC","New York City, NY (Metropolitan Area)",2013-01-01,2018-07-01,B6
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2008-01-01,2009-04-01,B6
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2009-04-01,2009-10-01,DL
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2009-10-01,2010-04-01,B6
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2010-04-01,2010-07-01,DL
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2010-07-01,2018-01-01,B6
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2018-01-01,2018-07-01,AA
"Orlando, FL","Raleigh/Durham, NC",2008-01-01,2009-01-01,WN
"Orlando, FL","Raleigh/Durham, NC",2009-01-01,2009-04-01,FL
"Orlando, FL","Raleigh/Durham, NC",2009-04-01,2009-07-01,WN
"Orlando, FL","Raleigh/Durham, NC",2009-07-01,2009-10-01,FL
"Orlando, FL","Raleigh/Durham, NC",2009-10-01,2010-10-01,WN
"Orlando, FL","Raleigh/Durham, NC",2010-10-01,2011-07-01,DL
"Orlando, FL","Raleigh/Durham, NC",2011-07-01,2013-04-01,WN
"Orlando, FL","Raleigh/Durham, NC",2013-04-01,2014-04-01,FL
"Orlando, FL","Raleigh/Durham, NC",2014-04-01,2018-07-01,WN
"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)",2008-01-01,2017-04-01,WN
"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)",2017-04-01,2017-07-01,AA
"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)",2017-07-01,2018-01-01,WN
"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)",2018-01-01,2018-04-01,AA
"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)",2018-04-01,2018-07-01,WN
"Indianapolis, IN","Raleigh/Durham, NC",2008-04-01,2009-10-01,NW
"Indianapolis, IN","Raleigh/Durham, NC",2009-10-01,2010-07-01,WN
"Indianapolis, IN","Raleigh/Durham, NC",2010-07-01,2010-10-01,DL
"Indianapolis, IN","Raleigh/Durham, NC",2010-10-01,2011-07-01,WN
"Indianapolis, IN","Raleigh/Durham, NC",2011-07-01,2012-07-01,US
"Indianapolis, IN","Raleigh/Durham, NC",2012-07-01,2013-01-01,WN
"Indianapolis, IN","Raleigh/Durham, NC",2013-01-01,2013-04-01,US
"Indianapolis, IN","Raleigh/Durham, NC",2013-04-01,2013-10-01,WN
"Indianapolis, IN","Raleigh/Durham, NC",2013-10-01,2014-01-01,US
"Indianapolis, IN","Raleigh/Durham, NC",2014-04-01,2015-01-01,WN
"Indianapolis, IN","Raleigh/Durham, NC",2015-04-01,2015-10-01,WN
"Indianapolis, IN","Raleigh/Durham, NC",2015-10-01,2016-01-01,UA
"Indianapolis, IN","Raleigh/Durham, NC",2016-01-01,2018-07-01,WN
"Orlando, FL","Syracuse, NY",2008-01-01,2009-01-01,B6
"Orlando, FL","Syracuse, NY",2009-01-01,2009-04-01,US
"Orlando, FL","Syracuse, NY",2009-04-01,2010-01-01,B6
"Orlando, FL","Syracuse, NY",2010-01-01,2010-04-01,DL
"Orlando, FL","Syracuse, NY",2010-04-01,2010-10-01,B6
"Orlando, FL","Syracuse, NY",2010-10-01,2011-04-01,US
"Orlando, FL","Syracuse, NY",2011-04-01,2011-07-01,DL
"Orlando, FL","Syracuse, NY",2011-07-01,2011-10-01,CO
"Orlando, FL","Syracuse, NY",2011-10-01,2012-04-01,B6
"Orlando, FL","Syracuse, NY",2012-04-01,2016-01-01,DL
"Orlando, FL","Syracuse, NY",2016-01-01,2016-04-01,UA
"Orlando, FL","Syracuse, NY",2016-04-01,2018-07-01,DL
"Chicago, IL","St. Louis, MO",2008-01-01,2009-04-01,WN
"Chicago, IL","St. Louis, MO",2009-04-01,2010-04-01,AA
"Chicago, IL","St. Louis, MO",2010-04-01,2010-10-01,WN
"Chicago, IL","St. Louis, MO",2010-10-01,2012-01-01,AA
"Chicago, IL","St. Louis, MO",2012-01-01,2012-07-01,WN
"Chicago, IL","St. Louis, MO",2012-07-01,2014-04-01,AA
"Chicago, IL","St. Louis, MO",2014-04-01,2018-07-01,WN
"Reno, NV","Seattle, WA",2008-01-01,2008-04-01,WN
"Reno, NV","Seattle, WA",2008-04-01,2009-01-01,AS
"Reno, NV","Seattle, WA",2009-01-01,2009-10-01,WN
"Reno, NV","Seattle, WA",2009-10-01,2010-04-01,AS
"Reno, NV","Seattle, WA",2010-04-01,2010-07-01,WN
"Reno, NV","Seattle, WA",2010-07-01,2012-07-01,AS
"Reno, NV","Seattle, WA",2012-07-01,2014-07-01,WN
"Reno, NV","Seattle, WA",2014-07-01,2015-10-01,AS
"Reno, NV","Seattle, WA",2015-10-01,2016-01-01,DL
"Reno, NV","Seattle, WA",2016-01-01,2016-04-01,WN
"Reno, NV","Seattle, WA",2016-04-01,2016-07-01,DL
"Reno, NV","Seattle, WA",2016-07-01,2016-10-01,WN
"Reno, NV","Seattle, WA",2016-10-01,2017-04-01,AS
"Reno, NV","Seattle, WA",2017-04-01,2018-07-01,WN
"Buffalo, NY","Minneapolis/St. Paul, MN",2010-07-01,2010-10-01,DL
"Buffalo, NY","Minneapolis/St. Paul, MN",2011-07-01,2011-10-01,WN
"Buffalo, NY","Minneapolis/St. Paul, MN",2012-07-01,2012-10-01,UA
"Denver, CO","Grand Rapids, MI",2010-04-01,2010-07-01,F9
"Denver, CO","Grand Rapids, MI",2010-07-01,2010-10-01,DL
"Denver, CO","Grand Rapids, MI",2010-10-01,2013-07-01,F9
"Denver, CO","Grand Rapids, MI",2013-07-01,2018-04-01,WN
"Denver, CO","Grand Rapids, MI",2018-04-01,2018-07-01,F9
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2008-01-01,2008-04-01,CO
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2008-10-01,2009-01-01,US
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2009-01-01,2009-04-01,DL
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2009-04-01,2009-07-01,CO
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2009-10-01,2010-04-01,DL
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2010-10-01,2011-01-01,US
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2011-01-01,2011-04-01,FL
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2012-01-01,2012-04-01,DL
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2013-01-01,2013-04-01,US
"Cleveland, OH (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2014-01-01,2014-04-01,US
"Charlotte, NC","Chicago, IL",2008-01-01,2010-04-01,AA
"Charlotte, NC","Chicago, IL",2010-04-01,2010-07-01,US
"Charlotte, NC","Chicago, IL",2010-07-01,2010-10-01,AA
"Charlotte, NC","Chicago, IL",2010-10-01,2011-01-01,US
"Charlotte, NC","Chicago, IL",2011-01-01,2011-07-01,AA
"Charlotte, NC","Chicago, IL",2011-07-01,2012-04-01,US
"Charlotte, NC","Chicago, IL",2012-04-01,2012-10-01,AA
"Charlotte, NC","Chicago, IL",2012-10-01,2013-01-01,US
"Charlotte, NC","Chicago, IL",2013-01-01,2013-04-01,AA
"Charlotte, NC","Chicago, IL",2013-04-01,2015-01-01,WN
"Charlotte, NC","Chicago, IL",2015-01-01,2015-04-01,UA
"Charlotte, NC","Chicago, IL",2015-04-01,2018-07-01,WN
"Albany, NY","Charlotte, NC",2011-04-01,2011-07-01,UA
"Albany, NY","Charlotte, NC",2013-07-01,2013-10-01,DL
"Albany, NY","Charlotte, NC",2013-10-01,2014-01-01,UA
"Albany, NY","Charlotte, NC",2014-04-01,2015-01-01,WN
"Albany, NY","Charlotte, NC",2015-04-01,2015-07-01,DL
"Albany, NY","Charlotte, NC",2015-07-01,2015-10-01,WN
"Albany, NY","Charlotte, NC",2015-10-01,2016-01-01,DL
"Albany, NY","Charlotte, NC",2016-04-01,2016-10-01,WN
"Albany, NY","Charlotte, NC",2016-10-01,2017-01-01,DL
"Albany, NY","Charlotte, NC",2017-04-01,2017-07-01,WN
"Albany, NY","Charlotte, NC",2017-07-01,2017-10-01,UA
"Albany, NY","Charlotte, NC",2017-10-01,2018-01-01,WN
"Columbus, OH","Seattle, WA",2008-01-01,2008-04-01,NW
"Columbus, OH","Seattle, WA",2008-04-01,2008-10-01,DL
"Columbus, OH","Seattle, WA",2008-10-01,2009-04-01,NW
"Columbus, OH","Seattle, WA",2009-04-01,2010-01-01,CO
"Columbus, OH","Seattle, WA",2010-01-01,2010-04-01,UA
"Columbus, OH","Seattle, WA",2010-04-01,2011-01-01,DL
"Columbus, OH","Seattle, WA",2011-04-01,2012-01-01,AA
"Columbus, OH","Seattle, WA",2012-04-01,2012-10-01,UA
"Columbus, OH","Seattle, WA",2012-10-01,2013-01-01,WN
"Columbus, OH","Seattle, WA",2013-04-01,2013-10-01,WN
"Columbus, OH","Seattle, WA",2014-04-01,2015-01-01,WN
"Columbus, OH","Seattle, WA",2015-04-01,2015-10-01,WN
"Columbus, OH","Seattle, WA",2016-04-01,2016-07-01,WN
"Columbus, OH","Seattle, WA",2016-07-01,2016-10-01,F9
"Columbus, OH","Seattle, WA",2016-10-01,2017-01-01,WN
"Columbus, OH","Seattle, WA",2017-04-01,2017-07-01,WN
"Columbus, OH","Seattle, WA",2017-07-01,2017-10-01,UA
"Columbus, OH","Seattle, WA",2017-10-01,2018-01-01,WN
"Columbus, OH","Seattle, WA",2018-04-01,2018-07-01,WN
"Chicago, IL","New Orleans, LA",2008-01-01,2008-04-01,AA
"Chicago, IL","New Orleans, LA",2008-04-01,2008-07-01,WN
"Chicago, IL","New Orleans, LA",2008-07-01,2008-10-01,AA
"Chicago, IL","New Orleans, LA",2008-10-01,2009-01-01,UA
"Chicago, IL","New Orleans, LA",2009-01-01,2010-01-01,AA
"Chicago, IL","New Orleans, LA",2010-01-01,2010-07-01,WN
"Chicago, IL","New Orleans, LA",2010-07-01,2010-10-01,AA
"Chicago, IL","New Orleans, LA",2010-10-01,2011-01-01,WN
"Chicago, IL","New Orleans, LA",2011-01-01,2011-04-01,AA
"Chicago, IL","New Orleans, LA",2011-04-01,2011-07-01,WN
"Chicago, IL","New Orleans, LA",2011-07-01,2011-10-01,AA
"Chicago, IL","New Orleans, LA",2011-10-01,2014-10-01,WN
"Chicago, IL","New Orleans, LA",2014-10-01,2015-07-01,NK
"Chicago, IL","New Orleans, LA",2015-07-01,2015-10-01,UA
"Chicago, IL","New Orleans, LA",2015-10-01,2017-04-01,NK
"Chicago, IL","New Orleans, LA",2017-04-01,2017-10-01,AA
"Chicago, IL","New Orleans, LA",2017-10-01,2018-04-01,NK
"Chicago, IL","New Orleans, LA",2018-04-01,2018-07-01,WN
"Raleigh/Durham, NC","St. Louis, MO",2008-01-01,2008-07-01,AA
"Raleigh/Durham, NC","St. Louis, MO",2008-07-01,2008-10-01,FL
"Raleigh/Durham, NC","St. Louis, MO",2008-10-01,2009-01-01,WN
"Raleigh/Durham, NC","St. Louis, MO",2009-01-01,2009-04-01,AA
"Raleigh/Durham, NC","St. Louis, MO",2009-04-01,2010-07-01,WN
"Raleigh/Durham, NC","St. Louis, MO",2010-07-01,2014-04-01,DL
"Raleigh/Durham, NC","St. Louis, MO",2014-04-01,2014-07-01,WN
"Raleigh/Durham, NC","St. Louis, MO",2014-07-01,2014-10-01,DL
"Raleigh/Durham, NC","St. Louis, MO",2014-10-01,2015-01-01,US
"Raleigh/Durham, NC","St. Louis, MO",2015-01-01,2015-04-01,WN
"Raleigh/Durham, NC","St. Louis, MO",2015-04-01,2015-07-01,US
"Raleigh/Durham, NC","St. Louis, MO",2015-07-01,2015-10-01,AA
"Raleigh/Durham, NC","St. Louis, MO",2015-10-01,2016-04-01,DL
"Raleigh/Durham, NC","St. Louis, MO",2016-04-01,2016-10-01,WN
"Raleigh/Durham, NC","St. Louis, MO",2016-10-01,2017-01-01,DL
"Raleigh/Durham, NC","St. Louis, MO",2017-01-01,2017-04-01,WN
"Raleigh/Durham, NC","St. Louis, MO",2017-04-01,2018-01-01,DL
"Raleigh/Durham, NC","St. Louis, MO",2018-01-01,2018-07-01,WN
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2008-01-01,2010-01-01,CO
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2010-01-01,2010-04-01,DL
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2010-04-01,2011-01-01,CO
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2011-01-01,2011-04-01,AA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2012-01-01,2012-04-01,AA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2012-10-01,2013-04-01,UA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2013-10-01,2014-01-01,AA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2014-01-01,2014-04-01,UA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2014-04-01,2014-10-01,AA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2014-10-01,2015-04-01,US
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2015-04-01,2015-07-01,UA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2016-01-01,2016-04-01,UA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2016-10-01,2017-04-01,UA
"Los Angeles, CA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2018-01-01,2018-04-01,UA
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2008-01-01,2013-04-01,WN
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2013-04-01,2013-07-01,FL
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2013-07-01,2015-01-01,WN
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2015-01-01,2016-01-01,F9
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2016-01-01,2016-04-01,WN
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2016-04-01,2018-07-01,F9
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2008-01-01,2009-01-01,SY
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2009-01-01,2009-04-01,F9
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2009-04-01,2009-10-01,SY
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2009-10-01,2010-01-01,US
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2010-01-01,2010-04-01,NW
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2010-04-01,2012-01-01,SY
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2012-01-01,2012-04-01,F9
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2012-04-01,2014-01-01,SY
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2014-01-01,2016-07-01,NK
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2016-07-01,2017-01-01,SY
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2017-01-01,2017-04-01,AA
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2017-04-01,2017-07-01,SY
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2017-07-01,2017-10-01,NK
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2017-10-01,2018-07-01,SY
"Cleveland, OH (Metropolitan Area)","Houston, TX",2008-01-01,2008-04-01,FL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2008-04-01,2008-07-01,WN
"Cleveland, OH (Metropolitan Area)","Houston, TX",2008-07-01,2009-01-01,DL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2009-01-01,2009-10-01,FL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2009-10-01,2010-04-01,WN
"Cleveland, OH (Metropolitan Area)","Houston, TX",2010-04-01,2013-01-01,DL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2013-01-01,2013-04-01,WN
"Cleveland, OH (Metropolitan Area)","Houston, TX",2013-04-01,2013-07-01,DL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2013-07-01,2013-10-01,WN
"Cleveland, OH (Metropolitan Area)","Houston, TX",2013-10-01,2014-01-01,DL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2014-01-01,2014-04-01,WN
"Cleveland, OH (Metropolitan Area)","Houston, TX",2014-04-01,2014-07-01,DL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2014-07-01,2015-04-01,WN
"Cleveland, OH (Metropolitan Area)","Houston, TX",2015-04-01,2015-07-01,DL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2015-07-01,2015-10-01,WN
"Cleveland, OH (Metropolitan Area)","Houston, TX",2015-10-01,2016-01-01,DL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2016-01-01,2016-04-01,AA
"Cleveland, OH (Metropolitan Area)","Houston, TX",2016-04-01,2016-07-01,DL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2016-07-01,2016-10-01,WN
"Cleveland, OH (Metropolitan Area)","Houston, TX",2016-10-01,2017-04-01,DL
"Cleveland, OH (Metropolitan Area)","Houston, TX",2017-04-01,2017-10-01,F9
"Cleveland, OH (Metropolitan Area)","Houston, TX",2017-10-01,2018-01-01,WN
"Cleveland, OH (Metropolitan Area)","Houston, TX",2018-01-01,2018-07-01,AA
"Indianapolis, IN","Philadelphia, PA",2008-01-01,2008-04-01,WN
"Indianapolis, IN","Philadelphia, PA",2008-04-01,2008-10-01,NW
"Indianapolis, IN","Philadelphia, PA",2008-10-01,2009-01-01,UA
"Indianapolis, IN","Philadelphia, PA",2009-01-01,2009-10-01,FL
"Indianapolis, IN","Philadelphia, PA",2009-10-01,2010-10-01,CO
"Indianapolis, IN","Philadelphia, PA",2010-10-01,2011-01-01,DL
"Indianapolis, IN","Philadelphia, PA",2011-01-01,2011-04-01,WN
"Indianapolis, IN","Philadelphia, PA",2011-04-01,2011-07-01,UA
"Indianapolis, IN","Philadelphia, PA",2011-07-01,2013-01-01,DL
"Indianapolis, IN","Philadelphia, PA",2013-01-01,2013-04-01,UA
"Indianapolis, IN","Philadelphia, PA",2013-04-01,2014-10-01,DL
"Indianapolis, IN","Philadelphia, PA",2014-10-01,2015-01-01,WN
"Indianapolis, IN","Philadelphia, PA",2015-01-01,2016-01-01,DL
"Indianapolis, IN","Philadelphia, PA",2016-01-01,2016-04-01,UA
"Indianapolis, IN","Philadelphia, PA",2016-04-01,2017-01-01,DL
"Indianapolis, IN","Philadelphia, PA",2017-01-01,2017-04-01,UA
"Indianapolis, IN","Philadelphia, PA",2017-04-01,2018-04-01,WN
"Indianapolis, IN","Philadelphia, PA",2018-04-01,2018-07-01,F9
"Boise, ID","San Francisco, CA (Metropolitan Area)",2008-01-01,2008-10-01,WN
"Boise, ID","San Francisco, CA (Metropolitan Area)",2008-10-01,2009-07-01,AS
"Boise, ID","San Francisco, CA (Metropolitan Area)",2009-07-01,2010-01-01,WN
"Boise, ID","San Francisco, CA (Metropolitan Area)",2010-01-01,2013-04-01,AS
"Boise, ID","San Francisco, CA (Metropolitan Area)",2013-04-01,2013-07-01,WN
"Boise, ID","San Francisco, CA (Metropolitan Area)",2013-07-01,2018-07-01,AS
"Charlotte, NC","Indianapolis, IN",2008-01-01,2009-01-01,NW
"Charlotte, NC","Indianapolis, IN",2009-01-01,2009-04-01,DL
"Charlotte, NC","Indianapolis, IN",2009-04-01,2009-07-01,FL
"Charlotte, NC","Indianapolis, IN",2009-07-01,2017-04-01,DL
"Charlotte, NC","Indianapolis, IN",2017-04-01,2017-10-01,WN
"Charlotte, NC","Indianapolis, IN",2017-10-01,2018-07-01,UA
"Atlanta, GA (Metropolitan Area)","Raleigh/Durham, NC",2008-01-01,2014-10-01,FL
"Atlanta, GA (Metropolitan Area)","Raleigh/Durham, NC",2014-10-01,2018-07-01,WN
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2008-01-01,2008-07-01,SY
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2008-07-01,2008-10-01,FL
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2008-10-01,2009-01-01,US
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2009-01-01,2009-04-01,AA
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2009-04-01,2009-07-01,FL
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2009-07-01,2009-10-01,AA
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2009-10-01,2010-01-01,FL
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2010-01-01,2010-04-01,NW
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2010-04-01,2010-07-01,FL
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2010-07-01,2010-10-01,SY
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2010-10-01,2011-04-01,F9
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2011-04-01,2011-07-01,SY
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2011-07-01,2011-10-01,FL
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2011-10-01,2012-01-01,SY
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2012-01-01,2012-04-01,FL
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2012-04-01,2012-07-01,SY
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2012-07-01,2013-04-01,US
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2013-04-01,2014-04-01,WN
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2014-04-01,2014-10-01,NK
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2014-10-01,2015-01-01,F9
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2015-01-01,2015-04-01,SY
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2015-04-01,2015-10-01,NK
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2015-10-01,2016-10-01,SY
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2016-10-01,2018-07-01,WN
"Salt Lake City, UT","San Diego, CA",2008-01-01,2009-10-01,B6
"Salt Lake City, UT","San Diego, CA",2009-10-01,2010-01-01,DL
"Salt Lake City, UT","San Diego, CA",2010-01-01,2014-07-01,WN
"Salt Lake City, UT","San Diego, CA",2014-07-01,2018-07-01,AS
"Salt Lake City, UT","Seattle, WA",2008-01-01,2014-10-01,WN
"Salt Lake City, UT","Seattle, WA",2014-10-01,2018-07-01,AS
"Minneapolis/St. Paul, MN","Sacramento, CA",2008-01-01,2008-04-01,NW
"Minneapolis/St. Paul, MN","Sacramento, CA",2008-04-01,2012-10-01,F9
"Minneapolis/St. Paul, MN","Sacramento, CA",2012-10-01,2013-07-01,WN
"Minneapolis/St. Paul, MN","Sacramento, CA",2013-07-01,2014-01-01,US
"Minneapolis/St. Paul, MN","Sacramento, CA",2014-01-01,2014-04-01,WN
"Minneapolis/St. Paul, MN","Sacramento, CA",2014-04-01,2014-10-01,US
"Minneapolis/St. Paul, MN","Sacramento, CA",2014-10-01,2015-04-01,WN
"Minneapolis/St. Paul, MN","Sacramento, CA",2015-04-01,2015-07-01,US
"Minneapolis/St. Paul, MN","Sacramento, CA",2015-07-01,2015-10-01,AA
"Minneapolis/St. Paul, MN","Sacramento, CA",2015-10-01,2016-01-01,UA
